Language,Countries,Degree of endangerment,Number of speakers,Endangerment Level,Total_Speakers,Duplicate_Columns,Endangerment_Level
ganne,South Africa,extinct,0,5.0,0,True,
aingae  cofan,Ecuador,definitely endangered,700,2.0,700,True,
aingae  cofan,Colombia,severely endangered,379,3.0,379,True,
atong,India,severely endangered,1000,3.0,1000,True,
aasax,United Republic of Tanzania,extinct,0,5.0,0,True,
abaga,Papua New Guinea,critically endangered,5,4.0,5,True,
abai sungai,Malaysia,definitely endangered,400,2.0,400,True,
abaza,"Russian Federation, Turkey",definitely endangered,31000,2.0,31000,True,
abkhaz,"Georgia, Russian Federation, Turkey",vulnerable,125000,1.0,125000,True,
acatepec mazatec,Mexico,vulnerable,1038,1.0,1038,True,
achagua,Colombia,severely endangered,283,3.0,283,True,
acheron,Sudan,severely endangered,70000,3.0,70000,True,
achi,Guatemala,vulnerable,82640,1.0,82640,True,
achuar,"Ecuador, Peru",definitely endangered,2500,2.0,2500,True,
achumawi,United States of America,critically endangered,10,4.0,10,True,
ach,Paraguay,definitely endangered,1000,2.0,1000,True,
acomalaguna,United States of America,definitely endangered,4000,2.0,4000,True,
adabe,Timor-Leste,vulnerable,1000,1.0,1000,True,
adi,"China, India",vulnerable,170000,1.0,170000,True,
adnyamathanha,Australia,definitely endangered,100,2.0,100,True,
adyge,"Iraq, Israel, Jordan, The former Yugoslav Republic of Macedonia, Russian Federation, Syrian Arab Republic, Turkey",vulnerable,300000,1.0,300000,True,
afitti,Sudan,severely endangered,4512,3.0,4512,True,
agul,Russian Federation,definitely endangered,29399,2.0,29399,True,
aheu,Lao People's Democratic Republic,definitely endangered,500,2.0,500,True,
ahom,India,extinct,0,5.0,0,True,
ahtna,United States of America,critically endangered,25,4.0,25,True,
aikana,Brazil,definitely endangered,150,2.0,150,True,
aimol,India,critically endangered,2643,4.0,2643,True,
ainbai,Papua New Guinea,severely endangered,100,3.0,100,True,
ainu,Japan,critically endangered,15,4.0,15,True,
ainu,Russian Federation,extinct,0,5.0,0,True,
aiton,India,severely endangered,2000,3.0,2000,True,
aivilingmiutut,Canada,vulnerable,1245,1.0,1245,True,
aja,Sudan,critically endangered,200,4.0,200,True,
ajuru,Brazil,severely endangered,8,3.0,8,True,
ak,Papua New Guinea,severely endangered,83,3.0,83,True,
aka,"India, Sudan",definitely endangered,4000,2.0,4000,True,
aka,India,critically endangered,300,4.0,300,True,
akatek,Guatemala,vulnerable,35763,1.0,35763,True,
akatek,Mexico,vulnerable,532,1.0,532,True,
akawaio,"Guyana, Venezuela (Bolivarian Republic of)",definitely endangered,5800,2.0,5800,True,
akawaio,Brazil,vulnerable,1170,1.0,1170,True,
akeu,"Lao People's Democratic Republic, Myanmar, Thailand",definitely endangered,5000,2.0,5000,True,
akhvakh,Russian Federation,definitely endangered,5793,2.0,5793,True,
akie,United Republic of Tanzania,critically endangered,1000,4.0,1000,True,
akkala saami,Russian Federation,extinct,0,5.0,0,True,
akum,"Cameroon, Nigeria",critically endangered,600,4.0,600,True,
akuntsu,Brazil,critically endangered,6,4.0,6,True,
akuriyo,Suriname,critically endangered,1000,4.0,1000,True,
akwwa,Brazil,vulnerable,1548,1.0,1548,True,
alabama,United States of America,definitely endangered,275,2.0,275,True,
alabat island agta,Philippines,critically endangered,30,4.0,30,True,
alabugat tatar,Russian Federation,definitely endangered,422,2.0,422,True,
alawa,Australia,critically endangered,22,4.0,22,True,
alderney french,United Kingdom of Great Britain and Northern Ireland,extinct,0,5.0,0,True,
alemannic,"Germany, Austria, France, Italy, Liechtenstein, Switzerland",vulnerable,1000,1.0,1000,True,
aleut,United States of America,critically endangered,150,4.0,150,True,
aleut,Russian Federation,critically endangered,5,4.0,5,True,
algherese catalan,Italy,definitely endangered,10000,2.0,10000,True,
alpine provenal,"France, Italy",definitely endangered,200000,2.0,200000,True,
alune,Indonesia,vulnerable,12000,1.0,12000,True,
aluo,China,definitely endangered,20000,2.0,20000,True,
alutor,Russian Federation,severely endangered,1000,3.0,1000,True,
amahai,Indonesia,critically endangered,30,4.0,30,True,
amahuaca,Peru,severely endangered,500,3.0,500,True,
amami,Japan,definitely endangered,1000,2.0,1000,True,
amanay,Brazil,extinct,0,5.0,0,True,
amba,Uganda,vulnerable,16000,1.0,16000,True,
amblong,Vanuatu,definitely endangered,150,2.0,150,True,
amis,China,vulnerable,30000,1.0,30000,True,
amok,"China, Lao People's Democratic Republic, Myanmar, Thailand",critically endangered,1000,4.0,1000,True,
ampibabo lauje,Indonesia,vulnerable,6000,1.0,6000,True,
anal,India,vulnerable,23000,1.0,23000,True,
anamb,Brazil,critically endangered,6,4.0,6,True,
andi,Russian Federation,definitely endangered,23729,2.0,23729,True,
andio,Indonesia,vulnerable,1700,1.0,1700,True,
andoa,Peru,critically endangered,2,4.0,2,True,
andoa,Ecuador,extinct,0,5.0,0,True,
andoke,Colombia,severely endangered,597,3.0,597,True,
andro,India,extinct,0,5.0,0,True,
anfillo,Ethiopia,critically endangered,500,4.0,500,True,
angami,India,vulnerable,132000,1.0,132000,True,
angika,"India, Nepal",vulnerable,740892,1.0,740892,True,
angku,Myanmar,critically endangered,1000,4.0,1000,True,
animere,Ghana,critically endangered,700,4.0,700,True,
anindilyakwa,Australia,vulnerable,2000,1.0,2000,True,
antakirinya,Australia,definitely endangered,200,2.0,200,True,
antoniano,United States of America,extinct,0,5.0,0,True,
anuki,Papua New Guinea,definitely endangered,542,2.0,542,True,
anung,China,critically endangered,5000,4.0,5000,True,
anung,Myanmar,severely endangered,3500,3.0,3500,True,
anus,Indonesia,severely endangered,70,3.0,70,True,
ao,India,vulnerable,243000,1.0,243000,True,
aore,Vanuatu,extinct,0,5.0,0,True,
apalai,Brazil,vulnerable,317,1.0,317,True,
apatani,India,vulnerable,35000,1.0,35000,True,
apiak,Brazil,critically endangered,1,4.0,1,True,
apinaj,Brazil,vulnerable,1500,1.0,1500,True,
apolista,Bolivia (Plurinational State of),extinct,0,5.0,0,True,
apurin,Brazil,definitely endangered,2000,2.0,2000,True,
aputai,Indonesia,critically endangered,120,4.0,120,True,
aqaw gelao,China,critically endangered,5,4.0,5,True,
arabana,Australia,critically endangered,6,4.0,6,True,
arabela,Peru,severely endangered,50,3.0,50,True,
aragonese,Spain,definitely endangered,10000,2.0,10000,True,
araki,Vanuatu,critically endangered,8,4.0,8,True,
araona,Bolivia (Plurinational State of),severely endangered,81,3.0,81,True,
arapaho,United States of America,severely endangered,1000,3.0,1000,True,
arapso,Brazil,extinct,0,5.0,0,True,
arara do par,Brazil,vulnerable,271,1.0,271,True,
arawet,Brazil,vulnerable,339,1.0,339,True,
arawun,Papua New Guinea,severely endangered,73,3.0,73,True,
arbanasi,Croatia,severely endangered,500,3.0,500,True,
arbore,Ethiopia,definitely endangered,4441,2.0,4441,True,
arbresh,Italy,definitely endangered,80000,2.0,80000,True,
archi,Russian Federation,definitely endangered,524,2.0,524,True,
arem,"Lao People's Democratic Republic, Viet Nam",severely endangered,100,3.0,100,True,
argobba,Ethiopia,critically endangered,8000,4.0,8000,True,
arguni,Indonesia,vulnerable,150,1.0,150,True,
arha,New Caledonia (France),critically endangered,50,4.0,50,True,
arho,New Caledonia (France),critically endangered,10,4.0,10,True,
ari,Papua New Guinea,severely endangered,80,3.0,80,True,
aribwatsa,Papua New Guinea,extinct,0,5.0,0,True,
arikapu,Brazil,critically endangered,2,4.0,2,True,
arikara,United States of America,critically endangered,10,4.0,10,True,
arin,Russian Federation,extinct,0,5.0,0,True,
arman,Russian Federation,extinct,0,5.0,0,True,
aromanian,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia",definitely endangered,500000,2.0,500000,True,
arrernte,Australia,vulnerable,2000,1.0,2000,True,
arta,Philippines,extinct,0,5.0,0,True,
aruaco,Colombia,vulnerable,14799,1.0,14799,True,
aru,Brazil,severely endangered,12,3.0,12,True,
arvanitika,Greece,severely endangered,50000,3.0,50000,True,
arra shawdwa,Brazil,critically endangered,9,4.0,9,True,
as,Indonesia,vulnerable,230,1.0,230,True,
ashaninka,Peru,vulnerable,62468,1.0,62468,True,
ashaninka,Brazil,vulnerable,813,1.0,813,True,
ashkun,Afghanistan,definitely endangered,2000,2.0,2000,True,
ashtiani,Iran (Islamic Republic of),definitely endangered,21000,2.0,21000,True,
assiniboine,United States of America,critically endangered,150,4.0,150,True,
assiniboine,Canada,critically endangered,80,4.0,80,True,
asturianleonese,"Spain, Portugal",definitely endangered,150000,2.0,150000,True,
asumboa,Solomon Islands,severely endangered,40,3.0,40,True,
asur,India,definitely endangered,7000,2.0,7000,True,
asurini do xingu,Brazil,vulnerable,124,1.0,124,True,
ata,Philippines,critically endangered,2000,4.0,2000,True,
atacameo,"Argentina, Bolivia (Plurinational State of), Chile",extinct,0,5.0,0,True,
atemble,Papua New Guinea,definitely endangered,60,2.0,60,True,
athpahariya,Nepal,definitely endangered,2000,2.0,2000,True,
atikamekw,Canada,vulnerable,4155,1.0,4155,True,
atsugewi,United States of America,extinct,0,5.0,0,True,
auraur,Brazil,critically endangered,2,4.0,2,True,
austral dialects,French Polynesia (France),definitely endangered,8000,2.0,8000,True,
auvergnat,France,severely endangered,1000,3.0,1000,True,
auye,Indonesia,vulnerable,350,1.0,350,True,
avacanoeiro,Brazil,critically endangered,16,4.0,16,True,
avaguaran,Argentina,definitely endangered,2000,2.0,2000,True,
avar,Russian Federation,vulnerable,784840,1.0,784840,True,
aveteian,Vanuatu,critically endangered,5,4.0,5,True,
awa cuaiquer,Colombia,critically endangered,7500,4.0,7500,True,
awajun,Peru,vulnerable,39000,1.0,39000,True,
awakatek,Guatemala,vulnerable,9613,1.0,9613,True,
awakatek,Mexico,critically endangered,3,4.0,3,True,
awapit,Ecuador,severely endangered,900,3.0,900,True,
awera,Indonesia,vulnerable,70,1.0,70,True,
aweti,Brazil,vulnerable,160,1.0,160,True,
awjila,Libyan Arab Jamahiriya,severely endangered,3000,3.0,3000,True,
awyi,Indonesia,vulnerable,350,1.0,350,True,
ayapanec,Mexico,critically endangered,8,4.0,8,True,
ayautla mazatec,Mexico,vulnerable,3192,1.0,3192,True,
ayizi,China,critically endangered,10,4.0,10,True,
aymara,"Bolivia (Plurinational State of), Chile, Peru",vulnerable,2000000,1.0,2000000,True,
ayoreo,Bolivia (Plurinational State of),definitely endangered,3700,2.0,3700,True,
au,Venezuela (Bolivarian Republic of),critically endangered,20,4.0,20,True,
babuza,China,extinct,0,5.0,0,True,
badaga,India,definitely endangered,134514,2.0,134514,True,
badala,Australia,critically endangered,0,4.0,0,True,
bade,Nigeria,vulnerable,250000,1.0,250000,True,
badiaranke,Guinea,severely endangered,12205,3.0,12205,True,
baga kalem,Guinea,extinct,0,5.0,0,True,
baga manduri,Guinea,definitely endangered,4000,2.0,4000,True,
baga mboteni,Guinea,critically endangered,0,4.0,0,True,
baga sitemu,Guinea,severely endangered,4000,3.0,4000,True,
baghati,India,critically endangered,3976,4.0,3976,True,
bagupi,Papua New Guinea,definitely endangered,60,2.0,60,True,
bagvalal,Russian Federation,definitely endangered,5000,2.0,5000,True,
baheng,China,vulnerable,45000,1.0,45000,True,
baheng,Viet Nam,vulnerable,5569,1.0,5569,True,
bahing,Nepal,definitely endangered,2765,2.0,2765,True,
bahonsuai,Indonesia,definitely endangered,180,2.0,180,True,
bai,Sudan,definitely endangered,2500,2.0,2500,True,
baima,China,vulnerable,10000,1.0,10000,True,
bainoukgunyaamolo,Senegal,vulnerable,5635,1.0,5635,True,
bainouksamik,Senegal,severely endangered,1685,3.0,1685,True,
bakairi,Brazil,vulnerable,950,1.0,950,True,
baki,Vanuatu,vulnerable,150,1.0,150,True,
bakole,Cameroon,critically endangered,300,4.0,300,True,
bakpinka,Nigeria,critically endangered,3416,4.0,3416,True,
baldemu,Cameroon,critically endangered,3,4.0,3,True,
baleasang,Indonesia,definitely endangered,3000,2.0,3000,True,
balti,"India, Pakistan",vulnerable,1000,1.0,1000,True,
bambassi,Ethiopia,definitely endangered,5000,2.0,5000,True,
bana,Lao People's Democratic Republic,severely endangered,200,3.0,200,True,
banat bulgarian,"Romania, Serbia",definitely endangered,25000,2.0,25000,True,
banaw yafi,Brazil,vulnerable,100,1.0,100,True,
bandial,Senegal,vulnerable,10125,1.0,10125,True,
bangani,India,critically endangered,12000,4.0,12000,True,
bangni,India,vulnerable,20000,1.0,20000,True,
bangsa,Vanuatu,critically endangered,10,4.0,10,True,
baniva,Venezuela (Bolivarian Republic of),severely endangered,500,3.0,500,True,
banjima,Australia,severely endangered,50,3.0,50,True,
banka,Mali,definitely endangered,2500,2.0,2500,True,
bantawa,Nepal,vulnerable,371056,1.0,371056,True,
banwa do iana,"Brazil, Colombia, Venezuela (Bolivarian Republic of)",vulnerable,5811,1.0,5811,True,
bara,Colombia,critically endangered,100,4.0,100,True,
bara,Brazil,vulnerable,21,1.0,21,True,
baraba tatar,Russian Federation,severely endangered,1000,3.0,1000,True,
baras,Indonesia,severely endangered,200,3.0,200,True,
barasana,Colombia,critically endangered,400,4.0,400,True,
barasana,Brazil,severely endangered,34,3.0,34,True,
barbareo,United States of America,extinct,0,5.0,0,True,
bardi,Australia,severely endangered,30,3.0,30,True,
bartangi,Tajikistan,severely endangered,5000,3.0,5000,True,
barzani jewish neoaramaic,Israel,critically endangered,20,4.0,20,True,
barzani jewish neoaramaic,Iraq,extinct,0,5.0,0,True,
bar,Brazil,critically endangered,2,4.0,2,True,
bar,Venezuela (Bolivarian Republic of),critically endangered,1000,4.0,1000,True,
bar,Colombia,vulnerable,5000,1.0,5000,True,
barm,Nepal,critically endangered,342,4.0,342,True,
basay,China,extinct,0,5.0,0,True,
bashkardi,Iran (Islamic Republic of),definitely endangered,7000,2.0,7000,True,
bashkarik,Pakistan,severely endangered,1500,3.0,1500,True,
bashkir,Russian Federation,vulnerable,1379727,1.0,1379727,True,
basque,"Spain, France",vulnerable,660000,1.0,660000,True,
bassari,Senegal,vulnerable,17910,1.0,17910,True,
bataan ayta,Philippines,definitely endangered,500,2.0,500,True,
batak,Philippines,definitely endangered,200,2.0,200,True,
batek,Malaysia,critically endangered,700,4.0,700,True,
bateri,Pakistan,definitely endangered,29000,2.0,29000,True,
bathari,Oman,critically endangered,300,4.0,300,True,
bati,Cameroon,severely endangered,800,3.0,800,True,
bats,Georgia,severely endangered,500,3.0,500,True,
baure,Bolivia (Plurinational State of),critically endangered,55,4.0,55,True,
bavarian,"Germany, Austria, Hungary, Italy, Switzerland, Czech Republic",vulnerable,1000,1.0,1000,True,
bawm,"Bangladesh, India",definitely endangered,14000,2.0,14000,True,
bay islands creole,Honduras,critically endangered,1000,4.0,1000,True,
baygo,Sudan,extinct,0,5.0,0,True,
bayot,Senegal,vulnerable,17150,1.0,17150,True,
bayso,Ethiopia,definitely endangered,2000,2.0,2000,True,
beaver,Canada,definitely endangered,195,2.0,195,True,
bedoanas,Indonesia,vulnerable,180,1.0,180,True,
beeke,Democratic Republic of the Congo,severely endangered,1000,3.0,1000,True,
beezen,Cameroon,severely endangered,400,3.0,400,True,
belanda bor,Sudan,definitely endangered,8000,2.0,8000,True,
belarusian,"Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine",vulnerable,4000000,1.0,4000000,True,
beli,Sudan,definitely endangered,6600,2.0,6600,True,
bella coola,Canada,critically endangered,50,4.0,50,True,
bellari,India,critically endangered,1000,4.0,1000,True,
benga,"Gabon, Equatorial Guinea",definitely endangered,3000,2.0,3000,True,
benggoi,Indonesia,definitely endangered,320,2.0,320,True,
bepour,Papua New Guinea,severely endangered,57,3.0,57,True,
berakou,Chad,extinct,0,5.0,0,True,
berbice dutch creole,Guyana,critically endangered,1000,4.0,1000,True,
berti,Sudan,extinct,0,5.0,0,True,
besme,Chad,severely endangered,1228,3.0,1228,True,
besoa,Indonesia,vulnerable,3000,1.0,3000,True,
bezhta,Russian Federation,definitely endangered,6461,2.0,6461,True,
bhadravahi,"India, Pakistan",definitely endangered,66918,2.0,66918,True,
bhalesi,India,definitely endangered,1000,2.0,1000,True,
bharmauri,India,definitely endangered,3976,2.0,3976,True,
bhumji,India,vulnerable,47000,1.0,47000,True,
biak,Indonesia,vulnerable,30000,1.0,30000,True,
bierebo,Vanuatu,vulnerable,350,1.0,350,True,
bieria,Vanuatu,critically endangered,25,4.0,25,True,
biete,India,definitely endangered,19000,2.0,19000,True,
bikaru,Papua New Guinea,severely endangered,100,3.0,100,True,
bikya,Cameroon,critically endangered,1,4.0,1,True,
bilakura,Papua New Guinea,critically endangered,34,4.0,34,True,
bina,Papua New Guinea,extinct,0,5.0,0,True,
birgid,Sudan,extinct,0,5.0,0,True,
birhor,India,critically endangered,2000,4.0,2000,True,
birri,Central African Republic,critically endangered,200,4.0,200,True,
bishnupriya manipuri creole,"Bangladesh, India",vulnerable,72899,1.0,72899,True,
bishuo,Cameroon,critically endangered,1,4.0,1,True,
bisu,"Myanmar, Thailand",definitely endangered,2740,2.0,2740,True,
blablanga,Solomon Islands,definitely endangered,600,2.0,600,True,
black mountain,Bhutan,definitely endangered,500,2.0,500,True,
blackfoot,Canada,definitely endangered,2200,2.0,2200,True,
blackfoot,United States of America,definitely endangered,1000,2.0,1000,True,
boano,Indonesia,vulnerable,2000,1.0,2000,True,
bodo,India,vulnerable,900000,1.0,900000,True,
boguru,"Democratic Republic of the Congo, Sudan",critically endangered,494,4.0,494,True,
bohtan neoaramaic,"Georgia, Russian Federation",severely endangered,1000,3.0,1000,True,
bokar,"China, India",vulnerable,5000,1.0,5000,True,
bola,China,definitely endangered,1000,2.0,1000,True,
bolo,Angola,definitely endangered,2627,2.0,2627,True,
bom,Sierra Leone,severely endangered,20,3.0,20,True,
bonan,China,definitely endangered,15000,2.0,15000,True,
bonerif,Indonesia,critically endangered,4,4.0,4,True,
bongom,Kenya,definitely endangered,1000,2.0,1000,True,
bonggo,Indonesia,severely endangered,200,3.0,200,True,
bongo,Sudan,definitely endangered,10084,2.0,10084,True,
boni,Kenya,definitely endangered,3000,2.0,3000,True,
bonjo,Congo,severely endangered,3000,3.0,3000,True,
boor,Chad,critically endangered,100,4.0,100,True,
bora,"Colombia, Peru",vulnerable,1000,1.0,1000,True,
bori,"China, India",definitely endangered,2000,2.0,2000,True,
boro,,definitely endangered,19878,2.0,19878,True,
boro,"Ethiopia, Togo",extinct,0,5.0,0,True,
bororo,Brazil,definitely endangered,1390,2.0,1390,True,
boruca,Costa Rica,critically endangered,70,4.0,70,True,
bosilewa,Papua New Guinea,vulnerable,250,1.0,250,True,
bothar,Papua New Guinea,severely endangered,68,3.0,68,True,
botlikh,Russian Federation,definitely endangered,4000,2.0,4000,True,
brahui,"Iran (Islamic Republic of), Pakistan, Afghanistan",vulnerable,500000,1.0,500000,True,
brao,"Cambodia, Lao People's Democratic Republic, Viet Nam",severely endangered,1000,3.0,1000,True,
breton,France,severely endangered,250000,3.0,250000,True,
bribri,Costa Rica,vulnerable,5647,1.0,5647,True,
bribri,Panama,severely endangered,2521,3.0,2521,True,
brokkat,Bhutan,definitely endangered,300,2.0,300,True,
brokpa,Bhutan,definitely endangered,5000,2.0,5000,True,
brokshat,India,definitely endangered,3000,2.0,3000,True,
bru,Thailand,definitely endangered,20000,2.0,20000,True,
bubia,Cameroon,severely endangered,600,3.0,600,True,
budibud,Papua New Guinea,vulnerable,120,1.0,120,True,
budongbudong,Indonesia,critically endangered,50,4.0,50,True,
budukh,Azerbaijan,severely endangered,3000,3.0,3000,True,
buga,Sudan,critically endangered,400,4.0,400,True,
bugl,Panama,definitely endangered,993,2.0,993,True,
bukharic,Uzbekistan,definitely endangered,10000,2.0,10000,True,
bukiyip,Papua New Guinea,vulnerable,10304,1.0,10304,True,
bulgebi,Papua New Guinea,definitely endangered,50,2.0,50,True,
bumbita arapesh,Papua New Guinea,vulnerable,2353,1.0,2353,True,
bumthang,Bhutan,vulnerable,30000,1.0,30000,True,
bunan,India,definitely endangered,4000,2.0,4000,True,
bundjalung,Australia,severely endangered,20,3.0,20,True,
bung,Cameroon,critically endangered,3,4.0,3,True,
bungee,Canada,critically endangered,1000,4.0,1000,True,
bunuba,Australia,severely endangered,40,3.0,40,True,
bunun,China,vulnerable,10000,1.0,10000,True,
burate,Indonesia,severely endangered,100,3.0,100,True,
burgenland croatian,"Austria, Hungary, Slovakia",definitely endangered,30000,2.0,30000,True,
burgundian,France,severely endangered,1000,3.0,1000,True,
burji,Kenya,vulnerable,7000,1.0,7000,True,
burunge,United Republic of Tanzania,vulnerable,10000,1.0,10000,True,
burushaski,Pakistan,vulnerable,87000,1.0,87000,True,
buryat,Russian Federation,definitely endangered,300000,2.0,300000,True,
buryat,"China, Mongolia",definitely endangered,50000,2.0,50000,True,
busoa,Indonesia,vulnerable,500,1.0,500,True,
bussa,Ethiopia,vulnerable,6624,1.0,6624,True,
busuu,Cameroon,critically endangered,8,4.0,8,True,
buyang,China,severely endangered,1200,3.0,1200,True,
bwisi,"Congo, Gabon",definitely endangered,4248,2.0,4248,True,
byangsi,"India, Nepal",definitely endangered,1734,2.0,1734,True,
caac,New Caledonia (France),vulnerable,890,1.0,890,True,
cabiyar,Colombia,critically endangered,1000,4.0,1000,True,
cabcar,Costa Rica,vulnerable,7622,1.0,7622,True,
cacaopera,Nicaragua,extinct,0,5.0,0,True,
cacua,Colombia,severely endangered,150,3.0,150,True,
caddo,United States of America,critically endangered,25,4.0,25,True,
cahuilla,United States of America,critically endangered,30,4.0,30,True,
callahuaya,Bolivia (Plurinational State of),critically endangered,100,4.0,100,True,
camarines norte agta,Philippines,severely endangered,150,3.0,150,True,
cambap,Cameroon,critically endangered,30,4.0,30,True,
campidanese,Italy,definitely endangered,900000,2.0,900000,True,
cams,Colombia,definitely endangered,3500,2.0,3500,True,
candoshi,Peru,definitely endangered,1900,2.0,1900,True,
canichana,Bolivia (Plurinational State of),extinct,3,5.0,3,True,
capanahua,Peru,severely endangered,120,3.0,120,True,
cape khoekhoe,South Africa,extinct,0,5.0,0,True,
cappadocian greek,Turkey,extinct,0,5.0,0,True,
cappadocian greek,Greece,critically endangered,1000,4.0,1000,True,
caquinte campa,Peru,definitely endangered,250,2.0,250,True,
carabayo,Colombia,extinct,1000,5.0,1000,True,
carapana,Brazil,severely endangered,63,3.0,63,True,
carapana,Colombia,definitely endangered,60,2.0,60,True,
carijona,Colombia,critically endangered,30,4.0,30,True,
carrier,Canada,severely endangered,660,3.0,660,True,
cashibocacataibo,Peru,definitely endangered,1800,2.0,1800,True,
cashinahua,Brazil,vulnerable,6000,1.0,6000,True,
cashinahua,Peru,definitely endangered,4000,2.0,4000,True,
catawba,United States of America,extinct,0,5.0,0,True,
cavinea,Bolivia (Plurinational State of),definitely endangered,1000,2.0,1000,True,
cayuga,United States of America,extinct,0,5.0,0,True,
cayuga,Canada,critically endangered,1000,4.0,1000,True,
cayuse,United States of America,extinct,0,5.0,0,True,
cayuvava,Bolivia (Plurinational State of),critically endangered,2,4.0,2,True,
central alaskan yupik,United States of America,vulnerable,10400,1.0,10400,True,
central asian arabic,"Uzbekistan, Tajikistan, Afghanistan",definitely endangered,1000,2.0,1000,True,
central cagayan agta,Philippines,vulnerable,779,1.0,779,True,
central cuicatec,Mexico,vulnerable,8621,1.0,8621,True,
central kalapuyan,United States of America,extinct,0,5.0,0,True,
central nhuatl,Mexico,vulnerable,395581,1.0,395581,True,
central ojibwe,Canada,definitely endangered,175,2.0,175,True,
central otom,Mexico,definitely endangered,84593,2.0,84593,True,
central pame,Mexico,vulnerable,7399,1.0,7399,True,
central pomo,United States of America,critically endangered,3,4.0,3,True,
central popoloc,Mexico,severely endangered,641,3.0,641,True,
central selkup,Russian Federation,critically endangered,5,4.0,5,True,
central siberian yupik,United States of America,definitely endangered,1000,2.0,1000,True,
central siberian yupik,Russian Federation,severely endangered,200,3.0,200,True,
central sierra miwok,United States of America,critically endangered,3,4.0,3,True,
central tlapanec,Mexico,vulnerable,6191,1.0,6191,True,
central zoque,Mexico,definitely endangered,5500,2.0,5500,True,
chorti,Guatemala,definitely endangered,11734,2.0,11734,True,
chorti,Honduras,critically endangered,10,4.0,10,True,
chapalaa,Ecuador,definitely endangered,4000,2.0,4000,True,
chairel,India,extinct,0,5.0,0,True,
chali,Bhutan,definitely endangered,1000,2.0,1000,True,
chamacoco,"Brazil, Paraguay",critically endangered,40,4.0,40,True,
chamalal,Russian Federation,definitely endangered,12000,2.0,12000,True,
chambeali,India,definitely endangered,126589,2.0,126589,True,
chamicuro,Peru,critically endangered,8,4.0,8,True,
chamling,Nepal,definitely endangered,44093,2.0,44093,True,
chamorro,Guam (U.S.A.),vulnerable,62500,1.0,62500,True,
champenois,"Belgium, France",severely endangered,1000,3.0,1000,True,
chang,India,vulnerable,62000,1.0,62000,True,
chantyal,Nepal,definitely endangered,5912,2.0,5912,True,
chan,Argentina,critically endangered,1,4.0,1,True,
chara,Ethiopia,vulnerable,6932,1.0,6932,True,
chatino of zacatepec,Mexico,definitely endangered,453,2.0,453,True,
chatino of the western lowlands,Mexico,definitely endangered,2640,2.0,2640,True,
chatong,Lao People's Democratic Republic,definitely endangered,580,2.0,580,True,
chawte,Myanmar,definitely endangered,200,2.0,200,True,
chayahuita,Peru,definitely endangered,10000,2.0,10000,True,
che wong,Malaysia,definitely endangered,200,2.0,200,True,
chechen,Russian Federation,vulnerable,1331844,1.0,1331844,True,
chemehuevi,United States of America,critically endangered,3,4.0,3,True,
chepang,Nepal,vulnerable,36807,1.0,36807,True,
chepya,Lao People's Democratic Republic,definitely endangered,2000,2.0,2000,True,
cherokee,United States of America,definitely endangered,10000,2.0,10000,True,
chesu,China,definitely endangered,6600,2.0,6600,True,
cheyenne,United States of America,definitely endangered,1700,2.0,1700,True,
chichimec,Mexico,vulnerable,1000,1.0,1000,True,
chickasaw,United States of America,severely endangered,600,3.0,600,True,
chihuahua lower pima,Mexico,definitely endangered,159,2.0,159,True,
chilchotla mazatec,Mexico,vulnerable,20585,1.0,20585,True,
chilcotin,Canada,definitely endangered,560,2.0,560,True,
chilisso,Pakistan,severely endangered,2000,3.0,2000,True,
chiman,Bolivia (Plurinational State of),vulnerable,5300,1.0,5300,True,
chimila,Colombia,severely endangered,900,3.0,900,True,
chinook jargon,United States of America,critically endangered,1000,4.0,1000,True,
chintang,Nepal,severely endangered,1500,3.0,1500,True,
chintaw,China,critically endangered,30,4.0,30,True,
chipaya,Bolivia (Plurinational State of),definitely endangered,1050,2.0,1050,True,
chiquihuitln mazatec,Mexico,definitely endangered,1502,2.0,1502,True,
chiquitano,Bolivia (Plurinational State of),definitely endangered,6500,2.0,6500,True,
chiquitano,Brazil,critically endangered,50,4.0,50,True,
chiwere,United States of America,extinct,1000,5.0,1000,True,
chocangacakha,Bhutan,definitely endangered,20000,2.0,20000,True,
choctaw,United States of America,vulnerable,9500,1.0,9500,True,
chokri,India,vulnerable,84000,1.0,84000,True,
cholon,Peru,extinct,0,5.0,0,True,
chong,"Cambodia, Thailand",severely endangered,500,3.0,500,True,
chontal tabasco,Mexico,severely endangered,36514,3.0,36514,True,
chorote iyojwaja,"Argentina, Paraguay",severely endangered,800,3.0,800,True,
chorotega,Costa Rica,critically endangered,16,4.0,16,True,
choyi,China,definitely endangered,7000,2.0,7000,True,
chrau,Viet Nam,definitely endangered,15000,2.0,15000,True,
chru,Viet Nam,vulnerable,12000,1.0,12000,True,
chuang,Cambodia,critically endangered,1000,4.0,1000,True,
chuj,Guatemala,vulnerable,59048,1.0,59048,True,
chuj,Mexico,critically endangered,1771,4.0,1771,True,
chukchi,Russian Federation,severely endangered,7742,3.0,7742,True,
chulym turk,Russian Federation,critically endangered,35,4.0,35,True,
chung,Cambodia,critically endangered,20,4.0,20,True,
chung,Thailand,critically endangered,10,4.0,10,True,
