Language,Countries,Degree of endangerment,Number of speakers,Endangerment_Level
duguza,Nigeria,Definitely endangered,2000,2
tarao,India,Critically endangered,870,4
south italian,Italy,Safe,7500000,0
jibbali,Oman,Severely endangered,5000,3
harsusi,Oman,Definitely endangered,3000,2
auni,South Africa,Extinct,0,5
phalura,Pakistan,Definitely endangered,8600,2
dameli,Pakistan,Severely endangered,5500,3
tamajeq,Niger,Safe,1750000,0
xam,South Africa,Extinct,0,5
tamang,India,Safe,1196639,0
teribe,Panama,Definitely endangered,3305,2
waunana,Panama,Severely endangered,6882,3
mbya,Paraguay,Definitely endangered,8000,2
xegwi,South Africa,Extinct,0,5
candoshi,Peru,Definitely endangered,1900,2
guanche,Spain,Extinct,0,5
wanka quechua,Peru,Severely endangered,35000,3
kashubian,Poland,Severely endangered,53000,3
transylvanian,Romania,Severely endangered,50000,3
mozarabic,Spain,Extinct,0,5
kwatay,Senegal,Severely endangered,5625,3
torlak,Many,Safe,1500000,0
acheron,Sudan,Severely endangered,70000,3
batak,Philippines,Definitely endangered,200,2
birgid,Sudan,Extinct,0,5
menik,Senegal,Definitely endangered,3375,2
tulu,India,Safe,1722768,0
aragonese,Spain,Definitely endangered,10000,2
vedda,Sri Lanka,Definitely endangered,300,2
homa,Sudan,Extinct,0,5
togoyo,Sudan,Extinct,0,5
venetan,Croatia,Safe,2000000,0
phalok,Thailand,Extinct,0,5
tingal,Sudan,Definitely endangered,8000,2
gutnish,Sweden,Definitely endangered,5000,2
yudja,Brazil,Vulnerable,362,1
romansh,Switzerland,Definitely endangered,35095,2
yaghnobi,Tajikistan,Definitely endangered,20000,2
lavua,Thailand,Definitely endangered,15000,2
gui,Botswana,Vulnerable,1000,1
west flemish,Belgium,Safe,1500000,0
nyenkha,Bhutan,Vulnerable,10000,1
yazgulami,Tajikistan,Severely endangered,6000,3
kurux,Bangladesh,Vulnerable,65000,1
homshetsma,Turkey,Definitely endangered,1000,2
sened,Tunisia,Extinct,0,5
cappadocian,Turkey,Extinct,0,5
tokelauan,Tokelau,Severely endangered,4500,3
tuvaluan,Tuvalu,Definitely endangered,11000,2
plautdietsch,Ukraine,Definitely endangered,300000,2
mlahso,Turkey,Extinct,0,5
tamazight,Tunisia,Severely endangered,10000,3
kukatja,Australia,Vulnerable,1000,1
ik,Uganda,Severely endangered,2000,3
crimean,Ukraine,Severely endangered,100000,3
yiddish,Israel,Safe,3000000,0
ubykh,Turkey,Extinct,0,5
napore,Uganda,Extinct,0,5
tolomako,Vanuatu,Definitely endangered,450,2
chrau,Viet Nam,Definitely endangered,15000,2
nyangi,Uganda,Extinct,0,5
zazaki,Turkey,Safe,2000000,0
singa,Uganda,Extinct,0,5
soqotri,Yemen,Severely endangered,50000,3
pilag,Argentina,Vulnerable,3000,1
gothic,Ukraine,Extinct,0,5
tamzabit,Algeria,Vulnerable,150000,1
karaim,Ukraine,Extinct,0,5
razihi,Yemen,Definitely endangered,75000,2
pashayi,Afghanistan,Vulnerable,1000,1
aore,Vanuatu,Extinct,0,5
ifo,Vanuatu,Extinct,0,5
maragus,Vanuatu,Extinct,0,5
amharic,Ethiopia,Safe,60000000,0
arabic,Many,Safe,435000000,0
bengali,Bangladesh,Safe,278000000,0
bhojpuri,India,Safe,53000000,0
chinese,China,Safe,1361000000,0
english,Many,Safe,1515000000,0
french,Many,Safe,312000000,0
german,Many,Safe,134000000,0
gujarati,India,Safe,63000000,0
hausa,Many,Safe,88000000,0
hindi,India,Safe,609000000,0
indonesian,indonesia,Safe,199000000,0
iranian,iran,Safe,78000000,0
italian,italy,Safe,67000000,0
japanese,japan,Safe,123000000,0
javanese,indonesia,Safe,68000000,0
kannada,India,Safe,59000000,0
korean,korea,Safe,81000000,0
marathi,India,Safe,99000000,0
nigerian,nigeria,Safe,121000000,0
portuguese,Many,Safe,264000000,0
punjabi,India,Safe,82000000,0
russian,Russia,Safe,255000000,0
spanish,Many,Safe,560000000,0
swahili,Many,Safe,87000000,0
tagalogb,Philippines,Safe,83000000,0
tamil,Sri Lanka,Safe,87000000,0
telugu,telugu,Safe,96000000,0
thai,Thailand,Safe,61000000,0
turkish,turkey,Safe,90000000,0
urdu,Pakistan,Safe,238000000,0
vietnamese,vietnam,Safe,86000000,0
