Language,Countries,Degree of endangerment,Number of speakers,Endangerment_Level
mahigi,Papua New Guinea,Extinct,0,5
mahongwe,Gabon,Severely endangered,1000,3
maidu,United States of America,Critically endangered,2,4
maiya,Pakistan,Vulnerable,220000,1
majera,Cameroon,Critically endangered,500,4
majhi,Nepal,Severely endangered,24664,3
mak,China,Definitely endangered,5000,2
makah,United States of America,Critically endangered,12,4
mako,Venezuela (Bolivarian Republic of),Critically endangered,345,4
makolkol,Papua New Guinea,Critically endangered,7,4
makua,Timor-Leste,Critically endangered,50,4
makurap,Brazil,Severely endangered,50,3
mak,Paraguay,Definitely endangered,1000,2
malak malak,Australia,Critically endangered,10,4
malecite,"Canada, United States of America",Definitely endangered,475,2
maleng,Lao People's Democratic Republic,Definitely endangered,4000,2
malin,Myanmar,Extinct,0,5
malinaltepec tlapanec,Mexico,Vulnerable,29,1
maliseetpassamaquoddy,United States of America,Severely endangered,500,3
malmariv,Vanuatu,Vulnerable,150,1
malto,India,Definitely endangered,224926,2
mam guatemala,Guatemala,Vulnerable,477717,1
mam mexico,Mexico,Severely endangered,7977,3
mambai,Chad,Severely endangered,2000,3
mancagne,Senegal,Vulnerable,26450,1
manchad,India,Vulnerable,20000,1
manchu amur,China,Critically endangered,10,4
manchu nonni,China,Critically endangered,10,4
manchurian kirghiz,China,Critically endangered,5,4
manchurian lt,China,Severely endangered,1000,3
manda,India,Critically endangered,1000,4
mandaic,"Iran (Islamic Republic of), Iraq",Critically endangered,300,4
mandan,United States of America,Critically endangered,10,4
mandeali,India,Definitely endangered,611930,2
mander,Indonesia,Critically endangered,20,4
mang china,China,Definitely endangered,2300,2
mang viet nam,Viet Nam,Definitely endangered,2300,2
mangareva,French Polynesia (France),Severely endangered,300,3
mangarla,Australia,Critically endangered,20,4
mangarrayi,Australia,Critically endangered,6,4
mani,"Guinea, Sierra Leone",Critically endangered,300,4
manihiki,Cook Islands,Definitely endangered,5000,2
maniq,Thailand,Definitely endangered,300,2
maniwaki algonquin,Canada,Severely endangered,280,3
manjui,"Argentina, Bolivia (Plurinational State of), Paraguay",Definitely endangered,1200,2
mansim,Indonesia,Critically endangered,5,4
manx,United Kingdom of Great Britain and Northern Ireland,Critically endangered,1000,4
mao,India,Vulnerable,81000,1
maonan,China,Vulnerable,30000,1
maori,New Zealand,Vulnerable,70000,1
mapia,Indonesia,Extinct,0,5
mapuche argentina,Argentina,Severely endangered,100000,3
mapuche chile,Chile,Definitely endangered,400000,2
mara,India,Definitely endangered,22000,2
maragus,Vanuatu,Extinct,0,5
maram,India,Vulnerable,37000,1
maremgi,Indonesia,Definitely endangered,40,2
mari,Papua New Guinea,Severely endangered,80,3
maricopa,United States of America,Severely endangered,100,3
maring,India,Vulnerable,22000,1
maringarr,Australia,Critically endangered,20,4
mariupolitan greek,Ukraine,Severely endangered,20000,3
marrgu,Australia,Extinct,0,5
marrisyefin,Australia,Critically endangered,10,4
marrithiyel,Australia,Critically endangered,25,4
martuwangka,Australia,Vulnerable,2500,1
marbo,Brazil,Vulnerable,1252,1
maslam,"Cameroon, Chad",Severely endangered,723,3
massalat,Chad,Critically endangered,10,4
massep,Indonesia,Critically endangered,25,4
matagalpa,Nicaragua,Extinct,0,5
matanvat,Vanuatu,Critically endangered,10,4
matipu,Brazil,Critically endangered,10,4
matlatzinca,Mexico,Definitely endangered,651,2
mator,Russian Federation,Extinct,0,5
mattole,United States of America,Extinct,0,5
mats,Brazil,Vulnerable,322,1
maung,Australia,Vulnerable,200,1
mawak,Papua New Guinea,Critically endangered,31,4
mawayana brazil,"Brazil, Suriname",Critically endangered,10,4
mawayana guyana,Guyana,Critically endangered,1000,4
maw,Brazil,Vulnerable,6219,1
maxakali,Brazil,Vulnerable,1271,1
may,"Lao People's Democratic Republic, Viet Nam",Definitely endangered,1000,2
mayo,Mexico,Critically endangered,32869,4
mayoruna brazil,Brazil,Vulnerable,1500,1
mayoruna peru,Peru,Vulnerable,2500,1
mazatln mazatec,Mexico,Vulnerable,12340,1
mbara,Chad,Severely endangered,1000,3
mbya guarani argentina uruguay,"Argentina, Uruguay",Severely endangered,3000,3
mbya guarani brazil,Brazil,Vulnerable,6000,1
mbya guarani paraguay,Paraguay,Definitely endangered,8000,2
mebengokre,Brazil,Vulnerable,7266,1
mech,India,Severely endangered,1000,3
meglenoromanian,"Greece, The former Yugoslav Republic of Macedonia",Severely endangered,5000,3
mehinku,Brazil,Vulnerable,200,1
mehri,"Oman, Yemen",Definitely endangered,100000,2
meithei,India,Safe,1250000,0
menik,Senegal,Definitely endangered,3375,2
menominee,United States of America,Critically endangered,35,4
menri,Malaysia,Critically endangered,1000,4
meriam mir,Australia,Definitely endangered,160,2
mescalerochiricahua apache new mexico,United States of America,Definitely endangered,1500,2
mescalerochiricahua apache oklahoma,United States of America,Critically endangered,3,4
mewahang,Nepal,Severely endangered,904,3
mezquital otom,Mexico,Definitely endangered,88789,2
miamiillinois,United States of America,Extinct,0,5
michif,Canada,Critically endangered,1000,4
micmac canada,Canada,Vulnerable,6850,1
micmac massachusetts,United States of America,Definitely endangered,8145,2
migueleo,United States of America,Extinct,0,5
miji,India,Definitely endangered,5000,2
miju,"China, India",Vulnerable,6700,1
mikasuki,United States of America,Vulnerable,500,1
milang,India,Definitely endangered,2000,2
miltu,Chad,Critically endangered,272,4
mindiri,Papua New Guinea,Severely endangered,93,3
mingrelian,Georgia,Definitely endangered,350000,2
minhe monguor,China,Definitely endangered,25000,2
minyong,India,Vulnerable,40000,1
miqie,China,Definitely endangered,10000,2
miraa brazil,Brazil,Critically endangered,0,4
miraa colombia,Colombia,Severely endangered,1000,3
mirit tapuia,Brazil,Critically endangered,0,4
miriwoong,Australia,Critically endangered,50,4
misantla totonac,Mexico,Critically endangered,325,4
mising,India,Definitely endangered,550000,2
miskito honduras,Honduras,Vulnerable,25000,1
miskito nicaragua,Nicaragua,Vulnerable,100000,1
mixtec of san miguel piedras,Mexico,Severely endangered,243,3
mixtec of san pedro tida,Mexico,Severely endangered,384,3
mixtec of santa cruz itundujia,Mexico,Definitely endangered,851,2
mixtec of santa ins de zaragoza,Mexico,Definitely endangered,775,2
mixtec of tlaltempan,Mexico,Definitely endangered,19,2
mixtec of villa de tututepec,Mexico,Definitely endangered,1019,2
mixtec of zapotitln,Mexico,Severely endangered,396,3
mixtec of the pueblaoaxaca border,Mexico,Definitely endangered,3791,2
mixtec of the central ravine,Mexico,Definitely endangered,1878,2
mixtec of the northeast lowlands,Mexico,Severely endangered,220,3
mixtec of the southwest of puebla,Mexico,Definitely endangered,1074,2
miyako,Japan,Definitely endangered,1000,2
mizo,India,Vulnerable,529000,1
mlabri,"Lao People's Democratic Republic, Thailand",Definitely endangered,149,2
mlahso syria,Syrian Arab Republic,Extinct,0,5
mlahso turkey,Turkey,Extinct,0,5
mlomp,Senegal,Critically endangered,500,4
moang china,China,Definitely endangered,5000,2
moang viet nam,Viet Nam,Definitely endangered,5000,2
moda,Sudan,Critically endangered,600,4
mopeng,Sierra Leone,Extinct,0,5
mochica,Peru,Extinct,0,5
mocov,Argentina,Definitely endangered,2000,2
moere,Papua New Guinea,Severely endangered,56,3
moghol,Afghanistan,Critically endangered,200,4
mohave arizona,United States of America,Severely endangered,100,3
mohave california,United States of America,Severely endangered,100,3
mohawk akwesasne st regis,United States of America,Definitely endangered,3000,2
mohawk ganienkeh,United States of America,Definitely endangered,1000,2
mohawk kahnawake,Canada,Definitely endangered,1000,2
mohawk kanatsiohareke,United States of America,Definitely endangered,1000,2
mohawk kanesatake,Canada,Definitely endangered,1000,2
mohawk six nations,Canada,Definitely endangered,1000,2
mohawk tyendinega,Canada,Definitely endangered,1000,2
mohawk wahta,Canada,Definitely endangered,1000,2
mojo,Bolivia (Plurinational State of),Definitely endangered,10000,2
mok china,China,Definitely endangered,700,2
mok lao pdr,Lao People's Democratic Republic,Definitely endangered,1000,2
mok myanmar thailand,"Myanmar, Thailand",Definitely endangered,30000,2
mokilese,Micronesia (Federated States of),Critically endangered,1050,4
moklen,"Myanmar, Thailand",Definitely endangered,6000,2
moksela,Indonesia,Extinct,0,5
moksha,Russian Federation,Definitely endangered,200000,2
molala,United States of America,Extinct,0,5
molise croatian,Italy,Severely endangered,5000,3
molo,Sudan,Critically endangered,100,4
momuna,Indonesia,Vulnerable,2000,1
mon,"Myanmar, Thailand",Vulnerable,800000,1
mono,Cameroon,Critically endangered,300,4
mono eastern,United States of America,Critically endangered,30,4
mono western,United States of America,Critically endangered,40,4
montana salish,United States of America,Critically endangered,60,4
moose cree,Canada,Vulnerable,405,1
mopn belize,Belize,Severely endangered,8980,3
mopn guatemala,Guatemala,Severely endangered,2455,3
mor,Indonesia,Severely endangered,25,3
moraori,Indonesia,Severely endangered,50,3
mores,Vanuatu,Severely endangered,75,3
moro,Sudan,Definitely endangered,30000,2
moroccan judeoarabic israel,Israel,Definitely endangered,300000,2
moroccan judeoarabic morocco,Morocco,Severely endangered,5000,3
morokodo,Sudan,Severely endangered,3400,3
mortlockese,Micronesia (Federated States of),Definitely endangered,5904,2
mor,Bolivia (Plurinational State of),Critically endangered,76,4
moselle franconian,"Germany, Belgium, France, Luxembourg",Vulnerable,390000,1
mosetn,Bolivia (Plurinational State of),Severely endangered,585,3
mosimo,Papua New Guinea,Severely endangered,58,3
mosquitia creole,Nicaragua,Definitely endangered,1000,2
motocintlec,Mexico,Critically endangered,141,4
motuo menba,"China, India",Definitely endangered,9000,2
mountain guarijo,Mexico,Vulnerable,696,1
movima,Bolivia (Plurinational State of),Severely endangered,1452,3
moyon,India,Definitely endangered,3700,2
mozarabic,Spain,Extinct,0,5
mpi,Thailand,Definitely endangered,2000,2
mra,"China, India",Critically endangered,350,4
mru,Myanmar,Severely endangered,40000,3
mt iraya agta,Philippines,Definitely endangered,150,2
muda,China,Vulnerable,2000,1
mudburra,Australia,Severely endangered,48,3
muinane,Colombia,Definitely endangered,1000,2
muji,China,Definitely endangered,36500,2
mulaha,Papua New Guinea,Extinct,0,5
mulam,China,Vulnerable,30000,1
mulao,China,Severely endangered,100,3
mundari,India,Vulnerable,750000,1
munduruk,Brazil,Vulnerable,8000,1
munichi,Peru,Critically endangered,8,4
munji,Afghanistan,Severely endangered,2000,3
munsee canada,Canada,Critically endangered,10,4
munsee united states of america,United States of America,Critically endangered,1000,4
muot,India,Critically endangered,10000,4
murik,Papua New Guinea,Vulnerable,1256,1
mursi,Ethiopia,Vulnerable,3278,1
musan,Papua New Guinea,Severely endangered,75,3
musom,Papua New Guinea,Definitely endangered,219,2
mussauemira,Papua New Guinea,Definitely endangered,3651,2
muya,China,Vulnerable,12000,1
mvanip,Nigeria,Critically endangered,100,4
mwatebu,Papua New Guinea,Definitely endangered,166,2
mwesen,Vanuatu,Critically endangered,15,4
myky,Brazil,Vulnerable,350,1
mzieme,India,Vulnerable,29000,1
mku,Brazil,Extinct,0,5
mcheno,Italy,Definitely endangered,1000,2
mra,Brazil,Extinct,0,5
na,"China, India",Critically endangered,350,4
naati,Vanuatu,Critically endangered,10,4
nachiring,Nepal,Severely endangered,3553,3
nadb,Brazil,Definitely endangered,350,2
nafi,Papua New Guinea,Severely endangered,100,3
nafusi,Libyan Arab Jamahiriya,Severely endangered,240000,3
nagumi,Cameroon,Extinct,0,5
nahali,India,Definitely endangered,15000,2
nahukwa,Brazil,Definitely endangered,124,2
naiki,India,Critically endangered,10000,4
nakaela,Indonesia,Extinct,0,5
nakkara,Australia,Severely endangered,50,3
nalu,Guinea,Definitely endangered,13000,2
naluo,China,Vulnerable,15000,1
naman,Vanuatu,Critically endangered,5,4
nambiquara do norte,Brazil,Vulnerable,323,1
nambiquara do sul,Brazil,Vulnerable,721,1
namonuito,Micronesia (Federated States of),Severely endangered,944,3
namuyi,China,Vulnerable,5000,1
nanay,"China, Russian Federation",Severely endangered,3000,3
nanti,Peru,Vulnerable,450,1
napore,Uganda,Extinct,0,5
napu,Indonesia,Vulnerable,4000,1
narau,Indonesia,Severely endangered,85,3
narim,Sudan,Definitely endangered,3623,2
narpa,Nepal,Definitely endangered,533,2
nasarian,Vanuatu,Critically endangered,5,4
naskapi,Canada,Vulnerable,525,1
natanzi,Iran (Islamic Republic of),Severely endangered,7000,3
nataoran,China,Critically endangered,20,4
natchez,United States of America,Extinct,0,5
natsilingmiutut,Canada,Vulnerable,1455,1
naueti,Timor-Leste,Vulnerable,1000,1
nauna,Papua New Guinea,Vulnerable,130,1
nauruan,Nauru,Severely endangered,6000,3
navajo,United States of America,Vulnerable,120000,1
navwien,Vanuatu,Critically endangered,5,4
nayi,Ethiopia,Vulnerable,3656,1
nayini,Iran (Islamic Republic of),Severely endangered,7000,3
ndai,Cameroon,Critically endangered,5,4
nding,Sudan,Critically endangered,3513,4
ndunda,Nigeria,Severely endangered,400,3
negidal,Russian Federation,Critically endangered,147,4
neku,New Caledonia (France),Severely endangered,221,3
nemadi,Mauritania,Critically endangered,100,4
nemi,New Caledonia (France),Definitely endangered,325,2
new river shasta,United States of America,Extinct,0,5
newar,Nepal,Definitely endangered,825458,2
nez perce,United States of America,Critically endangered,20,4
ngaanyatjarra,Australia,Vulnerable,700,1
ngaatjatjara,Australia,Severely endangered,12,3
ngalakan,Australia,Critically endangered,5,4
ngaliwuru,Australia,Critically endangered,12,4
ngalkbun,Australia,Severely endangered,30,3
nganasan,Russian Federation,Severely endangered,505,3
ngandi,Australia,Critically endangered,9,4
ngangikurunggurr,Australia,Severely endangered,60,3
ngardi,Australia,Critically endangered,10,4
ngarinman,Australia,Severely endangered,50,3
ngarinyin,Australia,Definitely endangered,90,2
ngarla,Australia,Extinct,0,5
ngarluma,Australia,Critically endangered,9,4
ngatikese mens creole,Micronesia (Federated States of),Definitely endangered,700,2
ngbinda,Democratic Republic of the Congo,Critically endangered,10,4
ngile,Sudan,Severely endangered,38000,3
ngombe,Central African Republic,Definitely endangered,1450,2
ngong,Cameroon,Extinct,0,5
nguon,Viet Nam,Vulnerable,2000,1
ngwaba,Nigeria,Severely endangered,10000,3
ngbere costa rica,Costa Rica,Definitely endangered,2041,2
ngbere panama,Panama,Vulnerable,169130,1
nheengatu  yeral brazil,Brazil,Severely endangered,6000,3
nheengatu  yeral venezuela,Venezuela (Bolivarian Republic of),Severely endangered,2000,3
nihali,India,Critically endangered,2000,4
nila nila island,Indonesia,Extinct,0,5
nila seram island,Indonesia,Definitely endangered,1800,2
ninam brazil,Brazil,Vulnerable,466,1
ninam venezuela,Venezuela (Bolivarian Republic of),Vulnerable,100,1
ningalami,Afghanistan,Severely endangered,200,3
nisenan,United States of America,Extinct,0,5
nisgaa,Canada,Severely endangered,265,3
nisvai,Vanuatu,Critically endangered,20,4
niuean,Niue,Definitely endangered,14000,2
nivacl,Paraguay,Vulnerable,1000,1
nivat,Vanuatu,Critically endangered,5,4
niviar,Vanuatu,Critically endangered,5,4
nivkh amur,Russian Federation,Critically endangered,1000,4
nivkh sakhalin,Russian Federation,Severely endangered,688,3
njalgulgule,Sudan,Severely endangered,900,3
njerep,Cameroon,Critically endangered,4,4
nocte,India,Vulnerable,33000,1
nogay caucasus,Russian Federation,Definitely endangered,90020,2
nogay crimea,Ukraine,Severely endangered,1000,3
nogay dobruja,Romania,Severely endangered,1000,3
nomatsiguenga,Peru,Severely endangered,4500,3
nonuya,Colombia,Critically endangered,1000,4
nooksack,United States of America,Extinct,0,5
noon,Senegal,Vulnerable,10925,1
nootka,Canada,Severely endangered,185,3
norfolkpitcairn norfolk,Norfolk Island (Australia),Definitely endangered,580,2
norfolkpitcairn pitcairn,Pitcairn  (U.K.),Vulnerable,50,1
norman,France,Severely endangered,1000,3
norn,United Kingdom of Great Britain and Northern Ireland,Extinct,0,5
north alaskan inupiaq canada,Canada,Severely endangered,240,3
north alaskan inupiaq kotzebue sound,United States of America,Severely endangered,2144,3
north alaskan inupiaq north slope,United States of America,Severely endangered,2144,3
north frisian,Germany,Severely endangered,10000,3
north greenlandic,Greenland (Kingdom of Denmark),Definitely endangered,1000,2
north saami,"Finland, Norway, Russian Federation, Sweden",Definitely endangered,30000,2
north slavey,Canada,Definitely endangered,720,2
northeastern pomo,United States of America,Extinct,0,5
northern algonquin,Canada,Vulnerable,1180,1
northern alta,Philippines,Severely endangered,200,3
northern altay,Russian Federation,Severely endangered,1000,3
northern cuicatec,Mexico,Vulnerable,1503,1
northern east cree,Canada,Vulnerable,6870,1
northern haida,"Canada, United States of America",Critically endangered,1000,4
northern khanty,Russian Federation,Definitely endangered,10000,2
northern mansi,Russian Federation,Severely endangered,2746,3
northern paiute idaho,United States of America,Critically endangered,10,4
northern paiute nevada,United States of America,Definitely endangered,400,2
northern paiute oregon,United States of America,Critically endangered,300,4
northern pame,Mexico,Definitely endangered,337,2
northern pomo,United States of America,Critically endangered,3,4
northern popoloc,Mexico,Vulnerable,8597,1
northern selkup,Russian Federation,Severely endangered,600,3
northern sierra miwok,United States of America,Critically endangered,6,4
northern straits salish,United States of America,Critically endangered,65,4
northern tepehun,Mexico,Definitely endangered,6802,2
northern tlapanec,Mexico,Vulnerable,4771,1
northern totonac,Mexico,Critically endangered,11529,4
northern tujia,China,Severely endangered,60000,3
northern tutchone,Canada,Definitely endangered,115,2
northwestern ojibwe,Canada,Vulnerable,3465,1
northwestern otom,Mexico,Vulnerable,1000,1
northwestern tarahumara,Mexico,Vulnerable,10031,1
northwestern tlapanec,Mexico,Vulnerable,8409,1
noy,Chad,Critically endangered,36,4
nruanghmei,India,Vulnerable,61000,1
nubaca,Cameroon,Severely endangered,800,3
nukak,Colombia,Definitely endangered,1000,2
nukin,Brazil,Extinct,0,5
nukuoro,Micronesia (Federated States of),Definitely endangered,860,2
numao bunu,China,Definitely endangered,1500,2
numbani,Papua New Guinea,Vulnerable,200,1
nunatsiavummiutut,Canada,Definitely endangered,575,2
nunavimmiutitut,Canada,Vulnerable,9105,1
nung ven,Viet Nam,Vulnerable,200,1
nunggubuyu,Australia,Severely endangered,44,3
nupbikha,Bhutan,Vulnerable,0,1
nupri,Nepal,Definitely endangered,3776,2
nusa laut,Indonesia,Critically endangered,10,4
nyah kur,Thailand,Definitely endangered,10000,2
nyamal,Australia,Severely endangered,20,3
nyangi,Uganda,Extinct,0,5
nyangumarta,Australia,Vulnerable,250,1
nyenkha,Bhutan,Vulnerable,10000,1
nyikina,Australia,Severely endangered,20,3
nyishangba,Nepal,Definitely endangered,2000,2
nyishi,India,Vulnerable,170000,1
nyoe,Thailand,Definitely endangered,15000,2
nuu,South Africa,Critically endangered,8,4
oodham akimel,United States of America,Definitely endangered,15000,2
oodham mexico,Mexico,Definitely endangered,94,2
oodham tohono,United States of America,Definitely endangered,15000,2
obispeo,United States of America,Extinct,0,5
obokuitai,Indonesia,Vulnerable,120,1
ocaina colombia,Colombia,Severely endangered,126,3
ocaina peru,Peru,Critically endangered,150,4
ocopetatillo mazatec,Mexico,Vulnerable,757,1
ocoyoacac otom,Mexico,Severely endangered,609,3
odut,Nigeria,Extinct,0,5
ofay,Brazil,Critically endangered,12,4
oirata,Indonesia,Definitely endangered,1221,2
ojicree,Canada,Vulnerable,6110,1
ojibwe,United States of America,Severely endangered,8000,3
okanagan,"Canada, United States of America",Definitely endangered,130,2
okinawan,Japan,Definitely endangered,1000,2
old prussian,Russian Federation,Extinct,0,5
old sirenik,Russian Federation,Extinct,0,5
olonetsian,"Finland, Russian Federation",Definitely endangered,25000,2
olrat,Vanuatu,Critically endangered,5,4
olultecan,Mexico,Severely endangered,60,3
omagua brazil,Brazil,Critically endangered,0,4
omagua peru,Peru,Critically endangered,100,4
omahaponca,United States of America,Critically endangered,50,4
omotik,Kenya,Critically endangered,50,4
ona,Argentina,Extinct,0,5
oneida canada,"Canada, United States of America",Critically endangered,1000,4
oneida new york,United States of America,Critically endangered,2,4
oneida wisconsin,United States of America,Critically endangered,10,4
ongamo,Kenya,Critically endangered,200,4
onge,India,Critically endangered,50,4
ongkor solon,China,Extinct,0,5
ongota,Ethiopia,Critically endangered,8,4
onin,Indonesia,Vulnerable,500,1
onjab,Papua New Guinea,Vulnerable,160,1
onondaga canada,"Canada, United States of America",Critically endangered,1000,4
onondaga new york,United States of America,Critically endangered,10,4
oponcarare,Colombia,Extinct,0,5
opuuo,Ethiopia,Critically endangered,307,4
orang hulu,Malaysia,Definitely endangered,10000,2
orang kanaq,Malaysia,Extinct,0,5
orang seletar,Malaysia,Severely endangered,1500,3
ordos,China,Definitely endangered,100000,2
orejn,Peru,Severely endangered,200,3
ormu,Indonesia,Vulnerable,500,1
ormuri,"Pakistan, Afghanistan",Definitely endangered,1000,2
oro win,Brazil,Critically endangered,5,4
oroch,Russian Federation,Critically endangered,100,4
oroha,Solomon Islands,Severely endangered,100,3
orok,Russian Federation,Critically endangered,64,4
orowe,New Caledonia (France),Definitely endangered,587,2
osage,United States of America,Critically endangered,10,4
ossete,"Georgia, Russian Federation",Vulnerable,550000,1
otoro,Sudan,Severely endangered,10000,3
ottawa canada,"Canada, United States of America",Severely endangered,810,3
ottawa michigan,United States of America,Critically endangered,459,4
ottawa walpole island,"Canada, United States of America",Severely endangered,2000,3
ouma,Papua New Guinea,Critically endangered,4,4
oyda,Ethiopia,Vulnerable,16597,1
oyrat,"China, Kyrgyzstan, Mongolia",Definitely endangered,280000,2
ozomatln totonac,Mexico,Critically endangered,1276,4
paafang,Micronesia (Federated States of),Severely endangered,1318,3
paakantyi,Australia,Critically endangered,4,4
pacahuara,Bolivia (Plurinational State of),Critically endangered,18,4
pacific gulf yupik,United States of America,Severely endangered,200,3
padam,India,Vulnerable,20000,1
padoe,Indonesia,Vulnerable,5000,1
padri,India,Vulnerable,1000,1
paipai,Mexico,Severely endangered,226,3
paite,India,Vulnerable,50000,1
paiter,Brazil,Vulnerable,1000,1
paiwan,China,Vulnerable,15000,1
pakan,China,Definitely endangered,2700,2
palaung,Myanmar,Severely endangered,1000,3
pale,Myanmar,Severely endangered,1000,3
palenque creole,Colombia,Definitely endangered,1500,2
palikur brazil,Brazil,Vulnerable,1300,1
palikur french guyana,French Guiana (France),Severely endangered,500,3
paloor,Senegal,Vulnerable,9680,1
palue,Indonesia,Definitely endangered,3000,2
palumata,Indonesia,Extinct,0,5
pana,Burkina Faso,Definitely endangered,7800,2
panamahka,Nicaragua,Vulnerable,9000,1
panamanian creole,Panama,Definitely endangered,1000,2
panamint,United States of America,Critically endangered,20,4
panare,Venezuela (Bolivarian Republic of),Vulnerable,3000,1
panar,Brazil,Vulnerable,306,1
panasuan,Indonesia,Definitely endangered,800,2
pangvali,India,Critically endangered,16285,4
panobo,Peru,Extinct,0,5
papantla totonac,Mexico,Definitely endangered,49748,2
papapana,Papua New Guinea,Definitely endangered,150,2
papi,Papua New Guinea,Severely endangered,75,3
papora,China,Extinct,0,5
parachi,Afghanistan,Definitely endangered,6000,2
pareci,Brazil,Definitely endangered,1000,2
parintintin,Brazil,Critically endangered,10,4
parji,India,Critically endangered,51216,4
parya,"Uzbekistan, Tajikistan, Afghanistan",Severely endangered,7000,3
pashayi,Afghanistan,Vulnerable,1000,1
pasi,India,Definitely endangered,1000,2
pasing,Lao People's Democratic Republic,Definitely endangered,1732,2
patamona brazil,Brazil,Vulnerable,87,1
patamona guyana,Guyana,Vulnerable,5000,1
patani malay,Thailand,Vulnerable,40000,1
patlachicontla totonac,Mexico,Severely endangered,8590,3
patua,China,Critically endangered,50,4
patwin,United States of America,Critically endangered,1,4
paulohi,Indonesia,Critically endangered,50,4
paumar,Brazil,Severely endangered,290,3
paunaca,Bolivia (Plurinational State of),Critically endangered,5,4
pauwi,Indonesia,Vulnerable,100,1
pawnee,United States of America,Critically endangered,10,4
pazeh,China,Critically endangered,1,4
pear,Cambodia,Severely endangered,250,3
pech,Honduras,Severely endangered,900,3
peco creole,Indonesia,Critically endangered,1000,4
pemon brazil,Brazil,Vulnerable,500,1
pemon venezuela,"Guyana, Venezuela (Bolivarian Republic of)",Vulnerable,20000,1
pendau,Indonesia,Vulnerable,3200,1
pengo,India,Critically endangered,1254,4
penrhyn,Cook Islands,Severely endangered,600,3
pentlatch,Canada,Extinct,0,5
permyak,Russian Federation,Definitely endangered,94328,2
phalok,Thailand,Extinct,0,5
phalura,Pakistan,Definitely endangered,8600,2
phnong,Cambodia,Severely endangered,1000,3
phom,India,Vulnerable,123000,1
phong,Lao People's Democratic Republic,Definitely endangered,300,2
phula china,China,Vulnerable,250000,1
phula viet nam,Viet Nam,Definitely endangered,9046,2
phunoi,Lao People's Democratic Republic,Vulnerable,37311,1
phurhepecha,Mexico,Vulnerable,102988,1
phuthi,Lesotho,Definitely endangered,43000,2
piame,Papua New Guinea,Severely endangered,100,3
piapoko,"Colombia, Venezuela (Bolivarian Republic of)",Definitely endangered,4500,2
piaroa colombia,Colombia,Definitely endangered,800,2
piaroa venezuela,Venezuela (Bolivarian Republic of),Vulnerable,11000,1
picard,"Belgium, France",Severely endangered,700000,3
picuris,United States of America,Vulnerable,225,1
piedmontese,Italy,Safe,2000000,0
pijao,Colombia,Extinct,0,5
pije,New Caledonia (France),Severely endangered,161,3
pilag,Argentina,Vulnerable,3000,1
pingelapese,Micronesia (Federated States of),Severely endangered,2500,3
pintupi,Australia,Vulnerable,600,1
pipil,El Salvador,Critically endangered,200,4
pirah,Brazil,Vulnerable,389,1
piratapuya brazil,Brazil,Severely endangered,700,3
piratapuya colombia,Colombia,Critically endangered,600,4
piru,Indonesia,Extinct,0,5
pisaflores tepehua,Mexico,Vulnerable,2578,1
pisamira,Colombia,Critically endangered,25,4
pite saami,"Norway, Sweden",Critically endangered,20,4
pitjantjatjara,Australia,Vulnerable,3000,1
piu,Papua New Guinea,Definitely endangered,130,2
plains cree,Canada,Vulnerable,20933,1
plautdietsch,Ukraine,Definitely endangered,300000,2
pochuri,India,Vulnerable,17000,1
poitevinsaintongeais,France,Severely endangered,1000,3
polabian,Germany,Extinct,0,5
polci cluster,Nigeria,Definitely endangered,22000,2
polesian,"Belarus, Poland, Ukraine",Vulnerable,800000,1
polonomombauk,Vanuatu,Definitely endangered,120,2
pong,Lao People's Democratic Republic,Definitely endangered,1500,2
pontic greek,"Armenia, Georgia, Greece, Russian Federation, Turkey, Ukraine",Definitely endangered,300000,2
poqomam,Guatemala,Definitely endangered,11273,2
poqomchi,Guatemala,Vulnerable,92941,1
potawatomi canada,Canada,Critically endangered,1000,4
potawatomi kansas,United States of America,Critically endangered,50,4
potawatomi michigan,United States of America,Critically endangered,50,4
potawatomi oklahoma,United States of America,Critically endangered,50,4
potawatomi wisconsin,United States of America,Critically endangered,50,4
poyanawa,Brazil,Critically endangered,2,4
prasun,Afghanistan,Definitely endangered,2000,2
provenal,France,Severely endangered,150000,3
pu,India,Critically endangered,5000,4
puari,Papua New Guinea,Critically endangered,10,4
puebla mazatec,Mexico,Vulnerable,4660,1
puinave,"Colombia, Venezuela (Bolivarian Republic of)",Definitely endangered,7377,2
pukapukan,Cook Islands,Definitely endangered,840,2
pukoby,Brazil,Vulnerable,494,1
pukur,Guinea,Definitely endangered,3000,2
puluwat,Micronesia (Federated States of),Severely endangered,1364,3
puma,Nepal,Severely endangered,4310,3
pume,Venezuela (Bolivarian Republic of),Definitely endangered,5000,2
pumpokol,Russian Federation,Extinct,0,5
punan batu,Malaysia,Critically endangered,30,4
pupeo,China,Definitely endangered,400,2
purik,"India, Pakistan",Vulnerable,1000,1
purisimeo,United States of America,Extinct,0,5
purubor,Brazil,Critically endangered,2,4
purum,India,Critically endangered,503,4
pwaami,New Caledonia (France),Definitely endangered,219,2
pwapwa,New Caledonia (France),Severely endangered,80,3
pyu,Indonesia,Severely endangered,100,3
pyu,Myanmar,Extinct,0,5
pyuma,China,Vulnerable,1500,1
pez,Colombia,Definitely endangered,80000,2
