Language,Countries,Degree of endangerment,Number of speakers,Endangerment Level
Helong,Indonesia,severely endangered,9000,3
Lisela,Indonesia,vulnerable,9000,1
Motuo Menba,"China, India",definitely endangered,9000,2
Panamahka,Nicaragua,vulnerable,9000,1
Zuni,United States of America,vulnerable,9000,1
Mopán,Belize,severely endangered,8980,3
Tulishi,Sudan,severely endangered,8628,3
Central Cuicatec,Mexico,vulnerable,8621,1
Ts'amay,Ethiopia,definitely endangered,8621,2
Phalura,Pakistan,definitely endangered,8600,2
Northern Popoloc,Mexico,vulnerable,8597,1
Ixcatlán Mazatec,Mexico,vulnerable,8593,1
Patla-Chicontla Totonac,Mexico,severely endangered,8590,3
Toram,Chad,severely endangered,8456,3
Northwestern Tlapanec,Mexico,vulnerable,8409,1
Dene,Canada,vulnerable,8195,1
Micmac,United States of America,definitely endangered,8145,2
Argobba,Ethiopia,critically endangered,8000,4
Austral dialects,French Polynesia (France),definitely endangered,8000,2
Belanda Bor,Sudan,definitely endangered,8000,2
Feroge,Sudan,vulnerable,8000,1
Hachijō,Japan,definitely endangered,8000,2
Inga,Colombia,severely endangered,8000,3
Kanga,Sudan,severely endangered,8000,3
Lajia,China,definitely endangered,8000,2
Lakha,Bhutan,definitely endangered,8000,2
Mbya Guarani,Paraguay,definitely endangered,8000,2
Mundurukú,Brazil,vulnerable,8000,1
Ojibwe,United States of America,severely endangered,8000,3
Quichua,Ecuador,definitely endangered,8000,2
Rongpo,India,vulnerable,8000,1
Sanyi,China,severely endangered,8000,3
Temuan,Malaysia,severely endangered,8000,3
Tingal,Sudan,definitely endangered,8000,2
Wampis,Peru,vulnerable,8000,1
Wunai Bunu,China,definitely endangered,8000,2
Yanesha,Peru,severely endangered,8000,3
Mam,Mexico,severely endangered,7977,3
Pana,Burkina Faso,definitely endangered,7800,2
Macushi,Guyana,vulnerable,7750,1
Chukchi,Russian Federation,severely endangered,7742,3
Cabécar,Costa Rica,vulnerable,7622,1
Awa Cuaiquer,Colombia,critically endangered,7500,4
Lishana Deni,Israel,severely endangered,7500,3
Central Pame,Mexico,vulnerable,7399,1
Puinave,"Colombia, Venezuela (Bolivarian Republic of)",definitely endangered,7377,2
Mebengokre,Brazil,vulnerable,7266,1
Tunebo,"Colombia, Venezuela (Bolivarian Republic of)",definitely endangered,7231,2
Quechua of Peruvian Amazonia,Peru,vulnerable,7200,1
Asur,India,definitely endangered,7000,2
Bashkardi,Iran (Islamic Republic of),definitely endangered,7000,2
Burji,Kenya,vulnerable,7000,1
Choyi,China,definitely endangered,7000,2
Gazi,Iran (Islamic Republic of),definitely endangered,7000,2
Guichong,China,vulnerable,7000,1
Karagash,Russian Federation,definitely endangered,7000,2
Natanzi,Iran (Islamic Republic of),severely endangered,7000,3
Nayini,Iran (Islamic Republic of),severely endangered,7000,3
Parya,"Uzbekistan, Tajikistan, Afghanistan",severely endangered,7000,3
Segeju,United Republic of Tanzania,severely endangered,7000,3
Sivandi,Iran (Islamic Republic of),definitely endangered,7000,2
Soi,Iran (Islamic Republic of),definitely endangered,7000,2
Tucano,Brazil,vulnerable,7000,1
Wapishana,Guyana,vulnerable,7000,1
Yulu,"Central African Republic, Democratic Republic of the Congo, Sudan",vulnerable,7000,1
Zhaba,China,vulnerable,7000,1
Sakapultek,Guatemala,definitely endangered,6973,2
Chara,Ethiopia,vulnerable,6932,1
Kosraean,"Micronesia (Federated States of), Nauru",severely endangered,6900,3
Waunana,Panama,severely endangered,6882,3
San Francisco del Mar Huave,Mexico,critically endangered,6874,4
Northern East Cree,Canada,vulnerable,6870,1
Micmac,Canada,vulnerable,6850,1
Northern Tepehuán,Mexico,definitely endangered,6802,2
Miju,"China, India",vulnerable,6700,1
Rio Grande Keresan,United States of America,definitely endangered,6685,2
Western Mazatec,Mexico,vulnerable,6639,1
Bussa,Ethiopia,vulnerable,6624,1
Beli,Sudan,definitely endangered,6600,2
Chesu,China,definitely endangered,6600,2
Thuri,Sudan,vulnerable,6600,1
Karata,Russian Federation,definitely endangered,6574,2
Saulteau,Canada,vulnerable,6558,1
Kumāle,Nepal,severely endangered,6533,3
Lower Northwestern Otomí,Mexico,vulnerable,6509,1
Dimme,Ethiopia,vulnerable,6501,1
Chiquitano,Bolivia (Plurinational State of),definitely endangered,6500,2
Tumtum,Sudan,severely endangered,6500,3
Bezhta,Russian Federation,definitely endangered,6461,2
Thakali,Nepal,vulnerable,6441,1
Dongotono,Sudan,vulnerable,6219,1
Mawé,Brazil,vulnerable,6219,1
Shor,Russian Federation,severely endangered,6210,3
Central Tlapanec,Mexico,vulnerable,6191,1
Oji-Cree,Canada,vulnerable,6110,1
Keiga,Sudan,severely endangered,6072,3
Ampibabo Lauje,Indonesia,vulnerable,6000,1
Cashinahua,Brazil,vulnerable,6000,1
Geji cluster,Nigeria,severely endangered,6000,3
Mbya Guarani,Brazil,vulnerable,6000,1
Moklen,"Myanmar, Thailand",definitely endangered,6000,2
Nauruan,Nauru,severely endangered,6000,3
Nheengatu / Yeral,Brazil,severely endangered,6000,3
Parachi,Afghanistan,definitely endangered,6000,2
Quechua of San Martín,Peru,severely endangered,6000,3
Sawkna,Libyan Arab Jamahiriya,critically endangered,6000,4
Sulung,"China, India",definitely endangered,6000,2
Tindi,Russian Federation,definitely endangered,6000,2
Western Apache,United States of America,definitely endangered,6000,2
Yanomami,Brazil,vulnerable,6000,1
Yazgulami,Tajikistan,severely endangered,6000,3
Chantyal,Nepal,definitely endangered,5912,2
Mortlockese,Micronesia (Federated States of),definitely endangered,5904,2
Baníwa do Içana,"Brazil, Colombia, Venezuela (Bolivarian Republic of)",vulnerable,5811,1
Akawaio,"Guyana, Venezuela (Bolivarian Republic of)",definitely endangered,5800,2
Akhvakh,Russian Federation,definitely endangered,5793,2
Veps,Russian Federation,severely endangered,5753,3
Qikiqtaaluk nigiani,Canada,vulnerable,5740,1
Sipakapense,Guatemala,definitely endangered,5687,2
Bribri,Costa Rica,vulnerable,5647,1
Bainouk-Gunyaamolo,Senegal,vulnerable,5635,1
Kwatay,Senegal,severely endangered,5625,3
Baheng,Viet Nam,vulnerable,5569,1
Central Zoque,Mexico,definitely endangered,5500,2
Dameli,Pakistan,severely endangered,5500,3
Sak,Bangladesh,severely endangered,5500,3
Yidgha,Pakistan,definitely endangered,5500,2
Southeastern Tarahumara,Mexico,vulnerable,5406,1
Chimané,Bolivia (Plurinational State of),vulnerable,5300,1
Dilling,Sudan,definitely endangered,5295,2
San Dionisio del Mar Huave,Mexico,definitely endangered,5165,2
Lafofa,Sudan,severely endangered,5140,3
Akeu,"Lao People's Democratic Republic, Myanmar, Thailand",definitely endangered,5000,2
Anung,China,critically endangered,5000,4
Bagvalal,Russian Federation,definitely endangered,5000,2
Bambassi,Ethiopia,definitely endangered,5000,2
Barí,Colombia,vulnerable,5000,1
Bartangi,Tajikistan,severely endangered,5000,3
Bokar,"China, India",vulnerable,5000,1
Brokpa,Bhutan,definitely endangered,5000,2
Creek,United States of America,definitely endangered,5000,2
Cubeo,Colombia,vulnerable,5000,1
Dagur,China,definitely endangered,5000,2
Damal,Indonesia,vulnerable,5000,1
Dhaiso,United Republic of Tanzania,definitely endangered,5000,2
Gorum,India,definitely endangered,5000,2
Guarayu,Bolivia (Plurinational State of),definitely endangered,5000,2
Gutnish,Sweden,definitely endangered,5000,2
Hopi,United States of America,vulnerable,5000,1
Ilue,Nigeria,critically endangered,5000,4
Jibbali,Oman,severely endangered,5000,3
Kalasha,Pakistan,severely endangered,5000,3
Kami,United Republic of Tanzania,severely endangered,5000,3
Kathu,China,definitely endangered,5000,2
Khojki,Oman,severely endangered,5000,3
Khwe,Namibia,definitely endangered,5000,2
Kom,India,definitely endangered,5000,2
Korandje,Algeria,severely endangered,5000,3
Lachi,Viet Nam,definitely endangered,5000,2
Mak,China,definitely endangered,5000,2
Manihiki,Cook Islands,definitely endangered,5000,2
Megleno-Romanian,"Greece, The former Yugoslav Republic of Macedonia",severely endangered,5000,3
Miji,India,definitely endangered,5000,2
Mo'ang,China,definitely endangered,5000,2
Mo'ang,Viet Nam,definitely endangered,5000,2
Molise Croatian,Italy,severely endangered,5000,3
Moroccan Judeo-Arabic,Morocco,severely endangered,5000,3
Namuyi,China,vulnerable,5000,1
Padoe,Indonesia,vulnerable,5000,1
Patamona,Guyana,vulnerable,5000,1
Pu,India,critically endangered,5000,4
Pume,Venezuela (Bolivarian Republic of),definitely endangered,5000,2
Singpho,India,definitely endangered,5000,2
Turi,India,definitely endangered,5000,2
Udi,Azerbaijan,severely endangered,5000,3
Yecuana,Venezuela (Bolivarian Republic of),vulnerable,5000,1
Jirel,Nepal,definitely endangered,4919,2
Dolgan,Russian Federation,definitely endangered,4865,2
Romani,Colombia,vulnerable,4858,1
Tsum,Nepal,definitely endangered,4786,2
Northern Tlapanec,Mexico,vulnerable,4771,1
Taroko,China,vulnerable,4750,1
Kivallirmiutut,Canada,vulnerable,4675,1
Puebla Mazatec,Mexico,vulnerable,4660,1
Zapotec of Petapa,Mexico,definitely endangered,4613,2
Dungmali,Nepal,definitely endangered,4609,2
Saryg Yugur,China,severely endangered,4600,3
Qikiqtaaluk uannangani,Canada,vulnerable,4550,1
Afitti,Sudan,severely endangered,4512,3
Nomatsiguenga,Peru,severely endangered,4500,3
Piapoko,"Colombia, Venezuela (Bolivarian Republic of)",definitely endangered,4500,2
Tokelauan,Tokelau,severely endangered,4500,3
Wotu,Indonesia,vulnerable,4500,1
Wambule,Nepal,vulnerable,4471,1
Southern East Cree,Canada,vulnerable,4455,1
Arbore,Ethiopia,definitely endangered,4441,2
Ebang,Sudan,severely endangered,4412,3
Tafi,Ghana,vulnerable,4400,1
Puma,Nepal,severely endangered,4310,3
Gyele,"Cameroon, Equatorial Guinea",definitely endangered,4280,2
Bwisi,"Congo, Gabon",definitely endangered,4248,2
Eastern Montagnais,Canada,vulnerable,4180,1
Atikamekw,Canada,vulnerable,4155,1
Western Zoque,Mexico,vulnerable,4100,1
Acoma-Laguna,United States of America,definitely endangered,4000,2
Aka,"India, Sudan",definitely endangered,4000,2
Baga Manduri,Guinea,definitely endangered,4000,2
Baga Sitemu,Guinea,severely endangered,4000,3
Botlikh,Russian Federation,definitely endangered,4000,2
Bunan,India,definitely endangered,4000,2
Cashinahua,Peru,definitely endangered,4000,2
Cha'palaa,Ecuador,definitely endangered,4000,2
Evenki,China,severely endangered,4000,3
Gazhuo,China,definitely endangered,4000,2
Godoberi,Russian Federation,definitely endangered,4000,2
Kari'ña,"Guyana, Suriname",severely endangered,4000,3
Lishan Didan,Israel,severely endangered,4000,3
Maleng,Lao People's Democratic Republic,definitely endangered,4000,2
Napu,Indonesia,vulnerable,4000,1
Rahambuu,Indonesia,vulnerable,4000,1
Shingsaba,"China, Nepal",vulnerable,4000,1
Sinkiang Dagur,China,definitely endangered,4000,2
Taa,Botswana,definitely endangered,4000,2
Tennet,Sudan,vulnerable,4000,1
Wapishana,Brazil,definitely endangered,4000,2
Yagua,Peru,definitely endangered,4000,2
Yanomám,Brazil,vulnerable,4000,1
Yanomami,Venezuela (Bolivarian Republic of),vulnerable,4000,1
Younuo Bunu,China,definitely endangered,4000,2
Zenaga,Mauritania,severely endangered,4000,3
Baghati,India,critically endangered,3976,4
Bharmauri,India,definitely endangered,3976,2
Uspantek,Guatemala,vulnerable,3971,1
Khang Quang Lam,Viet Nam,severely endangered,3921,3
Konni,Ghana,vulnerable,3800,1
Tocho,Sudan,severely endangered,3800,3
Mixtec of the Puebla-Oaxaca border,Mexico,definitely endangered,3791,2
Nupri,Nepal,definitely endangered,3776,2
Ayoreo,Bolivia (Plurinational State of),definitely endangered,3700,2
Moyon,India,definitely endangered,3700,2
Utsat,China,definitely endangered,3700,2
Nayi,Ethiopia,vulnerable,3656,1
Mussau-Emira,Papua New Guinea,definitely endangered,3651,2
Narim,Sudan,definitely endangered,3623,2
Garífuna,Guatemala,vulnerable,3564,1
Nachiring,Nepal,severely endangered,3553,3
Eastern Popoloc,Mexico,vulnerable,3544,1
Nding,Sudan,critically endangered,3513,4
Anung,Myanmar,severely endangered,3500,3
Camsá,Colombia,definitely endangered,3500,2
Crow,United States of America,definitely endangered,3500,2
Sak,Myanmar,vulnerable,3500,1
Shwai,Sudan,critically endangered,3500,4
Wano,Indonesia,definitely endangered,3500,2
Northwestern Ojibwe,Canada,vulnerable,3465,1
Bakpinka,Nigeria,critically endangered,3416,4
Morokodo,Sudan,severely endangered,3400,3
Eloxochitlán Mazatec,Mexico,vulnerable,3384,1
Menik,Senegal,definitely endangered,3375,2
Teribe,Panama,definitely endangered,3305,2
Tima,Sudan,severely endangered,3305,3
Mursi,Ethiopia,vulnerable,3278,1
Pendau,Indonesia,vulnerable,3200,1
Ayautla Mazatec,Mexico,vulnerable,3192,1
Yucatec,Belize,definitely endangered,3155,2
Sayultec,Mexico,definitely endangered,3150,2
Eastern Tlapanec,Mexico,vulnerable,3088,1
Juhur,"Azerbaijan, Russian Federation",definitely endangered,3016,2
Awjila,Libyan Arab Jamahiriya,severely endangered,3000,3
Baleasang,Indonesia,definitely endangered,3000,2
Benga,"Gabon, Equatorial Guinea",definitely endangered,3000,2
Besoa,Indonesia,vulnerable,3000,1
Boni,Kenya,definitely endangered,3000,2
Bonjo,Congo,severely endangered,3000,3
Brokshat,India,definitely endangered,3000,2
Budukh,Azerbaijan,severely endangered,3000,3
Dahaalik,Eritrea,critically endangered,3000,4
East Greenlandic,Greenland (Kingdom of Denmark),definitely endangered,3000,2
Eastern Khanty,Russian Federation,definitely endangered,3000,2
Fyem,Nigeria,severely endangered,3000,3
Geta?,India,severely endangered,3000,3
Gura,Nigeria,severely endangered,3000,3
Harsusi,Oman,definitely endangered,3000,2
Hozo,Ethiopia,definitely endangered,3000,2
Jemez,United States of America,vulnerable,3000,1
Kamara,Ghana,definitely endangered,3000,2
Kapingamarangi,Micronesia (Federated States of),severely endangered,3000,3
Koitabu,Papua New Guinea,vulnerable,3000,1
Kuk,Cameroon,definitely endangered,3000,2
Lai,China,definitely endangered,3000,2
Limirong Tibetan,Nepal,definitely endangered,3000,2
Lishanid Noshan,Israel,severely endangered,3000,3
Lude,Russian Federation,severely endangered,3000,3
Mbya Guarani,"Argentina, Uruguay",severely endangered,3000,3
Mohawk,United States of America,definitely endangered,3000,2
Nanay,"China, Russian Federation",severely endangered,3000,3
Palu'e,Indonesia,definitely endangered,3000,2
Panare,Venezuela (Bolivarian Republic of),vulnerable,3000,1
Pilagá,Argentina,vulnerable,3000,1
Pitjantjatjara,Australia,vulnerable,3000,1
Pukur,Guinea,definitely endangered,3000,2
Rotuman,Fiji,vulnerable,3000,1
Savi,"Pakistan, Afghanistan",definitely endangered,3000,2
Sherdukpen,India,vulnerable,3000,1
Shira Yugur,China,severely endangered,3000,3
Takahanyilang,India,critically endangered,3000,4
U,China,definitely endangered,3000,2
Ulithian,Micronesia (Federated States of),severely endangered,3000,3
Waima'a,Timor-Leste,definitely endangered,3000,2
Warlpiri,Australia,vulnerable,3000,1
Yukpa,Venezuela (Bolivarian Republic of),vulnerable,3000,1
Western Montagnais,Canada,vulnerable,2980,1
Waiwai,Brazil,vulnerable,2916,1
Jersey French,United Kingdom of Great Britain and Northern Ireland,severely endangered,2874,3
Bahing,Nepal,definitely endangered,2765,2
Stoney,Canada,vulnerable,2765,1
Southwestern Tepehuan,Mexico,vulnerable,2756,1
Northern Mansi,Russian Federation,severely endangered,2746,3
Bisu,"Myanmar, Thailand",definitely endangered,2740,2
Wari,Brazil,definitely endangered,2721,2
Pakan,China,definitely endangered,2700,2
Yami,China,vulnerable,2700,1
Ko,Sudan,critically endangered,2683,4
Yuracaré,Bolivia (Plurinational State of),definitely endangered,2675,2
Aimol,India,critically endangered,2643,4
Kohi,Nepal,vulnerable,2641,1
Chatino of the western lowlands,Mexico,definitely endangered,2640,2
Bolo,Angola,definitely endangered,2627,2
Logol,Sudan,severely endangered,2600,3
Sila,"Lao People's Democratic Republic, Viet Nam",definitely endangered,2600,2
Pisaflores Tepehua,Mexico,vulnerable,2578,1
Xerente,Brazil,severely endangered,2569,3
Bribri,Panama,severely endangered,2521,3
Achuar,"Ecuador, Peru",definitely endangered,2500,2
Bai,Sudan,definitely endangered,2500,2
Banka,Mali,definitely endangered,2500,2
Culina,Peru,definitely endangered,2500,2
Gadang,Chad,definitely endangered,2500,2
Khinalug,Azerbaijan,severely endangered,2500,3
Laomian,China,definitely endangered,2500,2
Laomian,Myanmar,definitely endangered,2500,2
Lhokpu,Bhutan,definitely endangered,2500,2
Martuwangka,Australia,vulnerable,2500,1
Mayoruna,Peru,vulnerable,2500,1
Pingelapese,Micronesia (Federated States of),severely endangered,2500,3
Rapanui,Chile,severely endangered,2500,3
Remo,India,severely endangered,2500,3
Roshorvi,Tajikistan,severely endangered,2500,3
Sanglechi,"Tajikistan, Afghanistan",severely endangered,2500,3
Semelai,Malaysia,severely endangered,2500,3
Urak Lawoi,Malaysia,definitely endangered,2500,2
Urak Lawoi,Thailand,definitely endangered,2500,2
Zirenkel,Chad,definitely endangered,2500,2
Vumbu,Gabon,definitely endangered,2460,2
Mopán,Guatemala,severely endangered,2455,3
Cuiba,"Colombia, Venezuela (Bolivarian Republic of)",severely endangered,2445,3
Raji,Nepal,severely endangered,2413,3
Highland Chontal,Mexico,severely endangered,2410,3
Yasa,"Cameroon, Equatorial Guinea",definitely endangered,2401,2
Bumbita Arapesh,Papua New Guinea,vulnerable,2353,1
Mang,China,definitely endangered,2300,2
Mang,Viet Nam,definitely endangered,2300,2
Tlachichilco Tepehua,Mexico,definitely endangered,2234,2
Blackfoot,Canada,definitely endangered,2200,2
Jaya,Chad,severely endangered,2200,3
Karipuna do Amapá,Brazil,vulnerable,2200,1
Kulfa,Chad,definitely endangered,2200,2
Krahô,Brazil,vulnerable,2184,1
Kristang,Malaysia,severely endangered,2150,3
Yine,Peru,definitely endangered,2150,2
North Alaskan Inupiaq,United States of America,severely endangered,2144,3
North Alaskan Inupiaq,United States of America,severely endangered,2144,3
Seward Peninsula Inupiaq,United States of America,critically endangered,2144,4
Seward Peninsula Inupiaq,United States of America,critically endangered,2144,4
Seward Peninsula Inupiaq,United States of America,critically endangered,2144,4
Katukína-Kanamarí,Brazil,vulnerable,2100,1
Tiwi,Australia,vulnerable,2100,1
Zaozou,China,vulnerable,2100,1
Ngäbere,Costa Rica,definitely endangered,2041,2
Aiton,India,severely endangered,2000,3
Anindilyakwa,Australia,vulnerable,2000,1
Apurinã,Brazil,definitely endangered,2000,2
Arrernte,Australia,vulnerable,2000,1
Ashkun,Afghanistan,definitely endangered,2000,2
Ata,Philippines,critically endangered,2000,4
Athpahariya,Nepal,definitely endangered,2000,2
Ava-Guaraní,Argentina,definitely endangered,2000,2
Bayso,Ethiopia,definitely endangered,2000,2
Birhor,India,critically endangered,2000,4
Boano,Indonesia,vulnerable,2000,1
Bori,"China, India",definitely endangered,2000,2
Chepya,Lao People's Democratic Republic,definitely endangered,2000,2
Chilisso,Pakistan,severely endangered,2000,3
Culina,Brazil,vulnerable,2000,1
Damana,Colombia,definitely endangered,2000,2
Duguza,Nigeria,definitely endangered,2000,2
Galibi Marworno,Brazil,vulnerable,2000,1
Gats'ama - Ganjule - Harro,Ethiopia,definitely endangered,2000,2
Gebe,Indonesia,vulnerable,2000,1
Ghadames,Libyan Arab Jamahiriya,vulnerable,2000,1
Griko,Italy,severely endangered,2000,3
Huilliche,Chile,critically endangered,2000,4
Ik,Uganda,severely endangered,2000,3
Jangshung,India,definitely endangered,2000,2
Jero,Nepal,vulnerable,2000,1
Kari'ña,French Guiana (France),definitely endangered,2000,2
Khamnigan Mongol,"China, Mongolia, Russian Federation",definitely endangered,2000,2
Kona,Nigeria,severely endangered,2000,3
Koreguaje,Colombia,definitely endangered,2000,2
Koryak,Russian Federation,severely endangered,2000,3
Kota,India,critically endangered,2000,4
Logorik,Sudan,critically endangered,2000,4
Lule Saami,"Norway, Sweden",severely endangered,2000,3
Luro,India,critically endangered,2000,4
Mambai,Chad,severely endangered,2000,3
Milang,India,definitely endangered,2000,2
Mocoví,Argentina,definitely endangered,2000,2
Momuna,Indonesia,vulnerable,2000,1
Mpi,Thailand,definitely endangered,2000,2
Muda,China,vulnerable,2000,1
Munji,Afghanistan,severely endangered,2000,3
Nguon,Viet Nam,vulnerable,2000,1
Nheengatu / Yeral,Venezuela (Bolivarian Republic of),severely endangered,2000,3
Nihali,India,critically endangered,2000,4
Nyishangba,Nepal,definitely endangered,2000,2
Ottawa,"Canada, United States of America",severely endangered,2000,3
Prasun,Afghanistan,definitely endangered,2000,2
Rukai,China,vulnerable,2000,1
Sáliba,"Colombia, Venezuela (Bolivarian Republic of)",severely endangered,2000,3
Sangkong,China,vulnerable,2000,1
Sarwa,Chad,definitely endangered,2000,2
Shoshoni,United States of America,severely endangered,2000,3
Shoshoni,United States of America,severely endangered,2000,3
Shoshoni,United States of America,severely endangered,2000,3
Tai Phake,India,severely endangered,2000,3
Tamazight,Algeria,critically endangered,2000,4
Tanglang,China,vulnerable,2000,1
Tchitchege,Gabon,definitely endangered,2000,2
Tinan,"China, India",definitely endangered,2000,2
Tsafiki,Ecuador,definitely endangered,2000,2
Ukhwejo,Central African Republic,severely endangered,2000,3
Urarina,Peru,vulnerable,2000,1
Ushojo,Pakistan,definitely endangered,2000,2
Waigali,Afghanistan,definitely endangered,2000,2
Waotededo,Ecuador,vulnerable,2000,1
Wotapuri-Katarqalai,Afghanistan,definitely endangered,2000,2
Wutun,China,definitely endangered,2000,2
Candoshi,Peru,definitely endangered,1900,2
Hupda,Brazil,vulnerable,1900,1
Mixtec of the central Ravine,Mexico,definitely endangered,1878,2
Kendeje,Chad,definitely endangered,1859,2
Hunzib,Russian Federation,definitely endangered,1839,2
Tchumbuli,Benin,critically endangered,1838,4
Cashibo-Cacataibo,Peru,definitely endangered,1800,2
Grass Koiari,Papua New Guinea,vulnerable,1800,1
Isirawa,Indonesia,vulnerable,1800,1
Lanoh,Malaysia,critically endangered,1800,4
Lemolang,Indonesia,vulnerable,1800,1
Nila,Indonesia,definitely endangered,1800,2
Shixing,China,definitely endangered,1800,2
Chuj,Mexico,critically endangered,1771,4
Darma,"India, Nepal",definitely endangered,1761,2
Kung,Cameroon,severely endangered,1750,3
Lokono,"Guyana, Venezuela (Bolivarian Republic of)",critically endangered,1750,4
Byangsi,"India, Nepal",definitely endangered,1734,2
Pasing,Lao People's Democratic Republic,definitely endangered,1732,2
Yamphu,Nepal,definitely endangered,1722,2
Andio,Indonesia,vulnerable,1700,1
Cheyenne,United States of America,definitely endangered,1700,2
Kumzari,Oman,severely endangered,1700,3
Quechua of Yauyos,Peru,critically endangered,1700,4
Bainouk-Samik,Senegal,severely endangered,1685,3
Côông,Viet Nam,definitely endangered,1676,2
Dogrib,Canada,vulnerable,1675,1
Upland Yuman,United States of America,vulnerable,1650,1
Eastern Cuicatec,Mexico,vulnerable,1641,1
Tamazight,Morocco,extinct,1637,5
Woleaian,Micronesia (Federated States of),severely endangered,1631,3
Huehuetla Tepehua,Mexico,definitely endangered,1603,2
Kadiwéu,Brazil,definitely endangered,1600,2
Southern Tiwa,United States of America,definitely endangered,1600,2
Southern Tiwa,United States of America,definitely endangered,1600,2
Tewa,United States of America,definitely endangered,1600,2
Tewa,United States of America,severely endangered,1600,3
ǁGana,Botswana,vulnerable,1550,1
Akwáwa,Brazil,vulnerable,1548,1
Northern Cuicatec,Mexico,vulnerable,1503,1
Chiquihuitlán Mazatec,Mexico,definitely endangered,1502,2
Apinajé,Brazil,vulnerable,1500,1
Bashkarik,Pakistan,severely endangered,1500,3
Chintang,Nepal,severely endangered,1500,3
Forest Nenets,Russian Federation,severely endangered,1500,3
Hupda,Colombia,definitely endangered,1500,2
Jah Hut,Malaysia,severely endangered,1500,3
Jeri,Côte d'Ivoire,severely endangered,1500,3
Jonkor Bourmataguil,Chad,severely endangered,1500,3
K'emant,Ethiopia,severely endangered,1500,3
Kanashi,India,definitely endangered,1500,2
Karajá,Brazil,vulnerable,1500,1
Karelian,Russian Federation,severely endangered,1500,3
Kendem,Cameroon,severely endangered,1500,3
Khamba,"China, India",definitely endangered,1500,2
Lishpa,India,definitely endangered,1500,2
Mayoruna,Brazil,vulnerable,1500,1
Mescalero-Chiricahua Apache,United States of America,definitely endangered,1500,2
Numao Bunu,China,definitely endangered,1500,2
Orang Seletar,Malaysia,severely endangered,1500,3
Palenque Creole,Colombia,definitely endangered,1500,2
Pong,Lao People's Democratic Republic,definitely endangered,1500,2
Pyuma,China,vulnerable,1500,1
Saaroa,China,critically endangered,1500,4
Saluan,Indonesia,vulnerable,1500,1
Semaq Beri,Malaysia,critically endangered,1500,4
Talodi,Sudan,critically endangered,1500,4
Wayana,Suriname,vulnerable,1500,1
Wik Mungkan,Australia,vulnerable,1500,1
Natsilingmiutut,Canada,vulnerable,1455,1
Movima,Bolivia (Plurinational State of),severely endangered,1452,3
Ngombe,Central African Republic,definitely endangered,1450,2
Cinta Larga,Brazil,vulnerable,1440,1
Dupaninan Agta,Philippines,vulnerable,1400,1
Tese,Sudan,critically endangered,1400,4
Bororo,Brazil,definitely endangered,1390,2
Puluwat,Micronesia (Federated States of),severely endangered,1364,3
Kanela Rankokamekra,Brazil,vulnerable,1337,1
Saba,Chad,definitely endangered,1335,2
Kurripako,Brazil,vulnerable,1332,1
Triw,Lao People's Democratic Republic,definitely endangered,1328,2
Guernsey French,United Kingdom of Great Britain and Northern Ireland,severely endangered,1327,3
Paafang,Micronesia (Federated States of),severely endangered,1318,3
Chɨlɨng,Nepal,definitely endangered,1314,2
Zapotec of the Valleys north,Mexico,severely endangered,1303,3
Cypriot Arabic,Cyprus,severely endangered,1300,3
Palikur,Brazil,vulnerable,1300,1
Sanenyo,India,critically endangered,1300,4
Tecóatl Mazatec,Mexico,vulnerable,1300,1
Xinka,Guatemala,critically endangered,1283,4
Ozomatlán Totonac,Mexico,critically endangered,1276,4
Kāgate,Nepal,definitely endangered,1273,2
Maxakali,Brazil,vulnerable,1271,1
Murik,Papua New Guinea,vulnerable,1256,1
Pengo,India,critically endangered,1254,4
Marúbo,Brazil,vulnerable,1252,1
Aivilingmiutut,Canada,vulnerable,1245,1
Besme,Chad,severely endangered,1228,3
Oirata,Indonesia,definitely endangered,1221,2
Lohorung,Nepal,severely endangered,1207,3
Harakmbut,Peru,definitely endangered,1206,2
Buyang,China,severely endangered,1200,3
Dakka,Indonesia,vulnerable,1200,1
Mah Meri,Malaysia,severely endangered,1200,3
Manjui,"Argentina, Bolivia (Plurinational State of), Paraguay",definitely endangered,1200,2
Te'un,Indonesia,definitely endangered,1200,2
Tsou,China,vulnerable,1200,1
Ujir,Indonesia,definitely endangered,1200,2
White Gelao,China,severely endangered,1200,3
Dakkang,Lao People's Democratic Republic,definitely endangered,1198,2
Northern Algonquin,Canada,vulnerable,1180,1
Akawaio,Brazil,vulnerable,1170,1
Huehuetlán Mazatec,Mexico,vulnerable,1169,1
Trio,Brazil,vulnerable,1156,1
Savo,Solomon Islands,definitely endangered,1147,2
Tektitek,Guatemala,definitely endangered,1144,2
Fwâi,New Caledonia (France),vulnerable,1131,1
Waimirí-Atroarí,Brazil,vulnerable,1120,1
Guayabero,Colombia,definitely endangered,1118,2
Fagauvea,New Caledonia (France),vulnerable,1107,1
Fagauvea,New Caledonia (France),vulnerable,1107,1
Fania,Chad,severely endangered,1100,3
Ubi,Chad,severely endangered,1100,3
Warnang,Sudan,severely endangered,1100,3
Itzá,Guatemala,critically endangered,1094,4
Mixtec of the southwest of Puebla,Mexico,definitely endangered,1074,2
Lowland Chontal,Mexico,critically endangered,1060,4
Koireng,India,critically endangered,1056,4
Chipaya,Bolivia (Plurinational State of),definitely endangered,1050,2
