ID,Name in English,Countries,Country codes alpha 3,ISO639-3 codes,Degree of endangerment,Alternate names,Name in the language,Number of speakers 2024,Sources,Latitude,Longitude,Description of the location
1202,Angika,"India, Nepal","IND, NPL",anp,Vulnerable,Chhika-Chhiki; Anga; Aangi; Bhagalpuri,,740892,,24.7451,85.3124,Bihar and Jharkhand
1827,Q'eqchi' (Guatemala),Guatemala,GTM,kek,Vulnerable,"K'eqchí, Ketchí, Cacché, Quecchí",,716101, XI Censo Nacional de Población for number of speakers and language names; contributor H. Antonio García Zúñiga consulted Ethnologue for several locations.,15.4707,-90.3722,"Uspantán, Cobán, Panzós, Senahú, San Pedro Carchá, San Juan Chamelco, Lanquín, Cahabón, Chisec, Chahal, San Luis Sayaxché, El Estor, Livingston"
398,Picard,"Belgium, France","BEL, FRA",pcd,Severely endangered,"ch’ti, ch’timi, rouchi",,700000,"Jean-Michel Eloy: Le picard, langue d'oïl http://www.encyclopedie.picardie.fr/index.php/Le_picard,_langue_d%27o%C3%AFl",50.2331,2.7905,"the regions of Picardy (Picardie) and Nord-Pas-de-Calais, France; the area extending from Tournai to Mons in the western part of the province of Hainaut, Belgium"
1228,Kokborok,"Bangladesh, India","BGD, IND",trp,Vulnerable,Tripuri,,695000,,23.7752,91.6918,"Triupura, and Karimjang Dt. of Assam"
415,Basque,"Spain, France","ESP, FRA",eus,Vulnerable,,euskara,660000,"R. L. Trask: The history of Basque. London: Routledge, 1997. | José Ignacio Hualde & Jon Ortiz de Urbina: A grammar of Basque. Mouton Grammar Library 26; Berlin: Mouton de Gruyter, 2003.",43.133,-2.0764,"Basque Autonomous Region (the provinces of Bizkaia, Gipuzkoa and Araba) and the autonomous province of Navarre, Spain; Labourd, Basse-Navarre and Soule in the department of Pyrénées-Atlantiques, France"
1065,Kabard-Cherkes,"Russian Federation, Turkey","RUS, TUR",kbd,Vulnerable,Kabardian,,650000,"Wolfgang Schulze: Kabardinisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 861–867.",43.7393,43.4289,the Kabard-Balkar Republic and the Karachay-Cherkes Republic in the Russian Federation as well as diaspora communities in Turkey and the Middle East
1559,Mandeali,India,IND,mjl,Definitely endangered,Mandi; Mandiali; Pahari Mandiyali,,611930,,31.4099,76.9921,Himachal Pradesh
353,Friulian,Italy,ITA,fur,Definitely endangered,,,600000,,46.1037,13.1396,"the Autonomous Region Friuli-Venezia Giulia except Trieste Province and western and eastern border regions, and Portogruaro area in Venezia Province in Veneto Region; also spoken in émigré communities in Romania and elsewhere"
997,Quechua of Ancash and Huánuco,Peru,PER,"qec, qed, qee, qan, qei, qub, qej, qel, qem",Definitely endangered,"Quechua, Nunashimi. Quechua Ancash-Huánuco. Huaylas Quechua.",,600000,,-9.4598,-77.1789,"Zona central del Perú, departamentos de  Ancash Y Huánuco."
1947,Walloon,"Belgium, France, Luxembourg","BEL, FRA, LUX",wln,Definitely endangered,,,600000,,50.4575,4.8559,"the greater part of the province of Liège, the southern part of the province of Brabant, the province of Namur, the northern part of the province of Luxembourg and the eastern part of the province of Hainaut, Belgium; the north of the department of Ardennes (town of Givet), France, where severely endangered; formerly also in two or three villages (Doncols, Sonlez) in Luxemburg, where the last speakers died in the 1970s"
1091,Mising,India,IND,mrg,Definitely endangered,"Miri, Mishing, Miri-Mishing",,550000,,26.9612,94.0539,"Assam, mostly Lakhimpur, Sonitpur and Dhemaji districts; some speakers also live across the border in Arunachal Pradesh
"
1066,Ossete,"Georgia, Russian Federation","GEO, RUS",oss,Vulnerable,Ossetic,,550000,"З. Г. Исаева & М. И. Исаев: Осетинский язык. — Языки Российской Федерации и соседних государств: энциклопедия II. Москва: Наука, 2001.
",42.9564,44.4946,North Ossetia and South Ossetia
1230,Mizo,India,IND,lus,Vulnerable,Lushai,,529000,,22.9988,92.9223,"throughout Mizoram; Manipur, Churachandpur Dt. Also spoken in Burma"
1070,Dargwa,Russian Federation,RUS,dar,Vulnerable,,,503523,,42.1145,47.4938,parts of the Republic of Daghestan
331,Aromanian,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia","ALB, BGR, GRC, MKD, SRB",rup,Definitely endangered,Macedo-Romanian; Vlach; Tsintsar,,500000,"Petar Atanasov: Aromunisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 77-82.
http://www.ethnologue.org/show_language.asp?code=rup
",40.2292,21.1376,"Thessaly and Epirus in northern Greece; the central parts of Albania; several small pockets in the FYROM, Greece and Bulgaria; immigrant groups deriving from the eighteenth century in Serbia, especially between Niš and Kladovo; many Aromanian immigrants since the early twentieth century also in Romania"
2485,Brahui,"Iran (Islamic Republic of), Pakistan, Afghanistan","IRN, PAK, AFG",brh,Vulnerable,,,500000,"Dr. George van Driem in Encyclopaedia of World Endangered Languages, ed. by Christopher Moseley. 2007",29.0369,66.5826,"Kalat district and parts of Hyderabad, Karachi and Khairpur districts; also small communities in Afghanistan and Iran"
375,Languedocian,France,FRA,oci,Severely endangered,occitan languedocien; langadocian,lengadocian,500000,,43.8899,2.5378,"an area from Bordeaux in the northwest to Montpellier in the southeast, and from Toulouse in the southwest to Rodez in the northeast, covering the departments of Aveyron, Lot, Lot-et-Garonne, Tarn-et-Garonne, Tarn, Aude, Hérault, the eastern parts of Haute-Garonne and Ariège, the southern parts of Dordogne, the Aurillac region of Cantal, the western parts of Gard, and smaller areas in Lozère, Pyrénées-Orientales, and Gironde; the original ISO code [lnc] for Languedocian has been retired and replaced with [oci] on false grounds"
1072,Lezgian,"Azerbaijan, Russian Federation","AZE, RUS",lez,Vulnerable,,,500000,"У. А. Мейланова: Лезгинский язык. — Языки Российской Федерации и соседних государств: энциклопедия II. Москва: Наука, 2001.",41.4921,48.0541,southern Daghestan in the Russian Federation; northern Azerbaijan
1558,Mahasui,India,IND,bfz,Definitely endangered,Kiunthali; Kiuntali,,496024,,31.2738,77.1295,Himachal Pradesh
1118,Magar,Nepal,NPL,"mgp, mrd",Definitely endangered,मगर; Manggar; Magari,,489383,"Driem, George van. 2001. Languages of the Himalayas. Volumes 1 and 2. Hand-book of Oriental Studies. Section Two: India. Leiden/Boston/Köln: Brill.

Driem, George van. 2007. 'South Asia and the Middle East', pp. 283-347 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.

ethnologue.com",28.0816,83.4301,"Pālpā, Syāṅjā, Tanahũ and Gorkhā districts."
1822,Mam (Guatemala),Guatemala,GTM,,Vulnerable,,,477717,XI Censo Nacional de Población for number of speakers and names of languages; contributor H. Antonio García Zúñiga consulted Ethnologue for some locations,14.9305,-91.9078,"Towns of Tejumulco and Ichiguán in Huehuetenango; towns of San Miguel Ixtahuacán, Concepción Tutapa and others in
San Marcos dept; San Sebastián, town of Todos Santos Cuchumatán and other towns in Huehuetenango dept., Quetzaltenango dept., Retalhuleu dept, San Juan Ostuncalco, San Martín Sacatepequez and other towns in Ostuncalco"
418,Udmurt,Russian Federation,RUS,udm,Definitely endangered,,,463837,"Sandor Csucs: Udmurt. — The Uralic languages. Edited by Daniel Abondolo. London & New York: Routledge, 1998. 276–304.",57.2315,52.8662,"the Udmurt Republic and parts of Tatarstan, the Republic of Mariy-El, Bashkortostan, and Kirov (Vyatka) and Perm’ provinces"
1506,Huasteca Náhuatl,Mexico,MEX,nhe,Vulnerable,Mexicano,,463183,"Census 2000, information provided by INALI for percentages of child speakers; Lastra (1986)",21.3835,-98.9902,"Locality of Xilitla and others in the municipality of Tamazunchale, municipalities of Cuatlamayán, Coxcatlán, and others in the state of San Luis Potosí; municipalities of Platón Sánchez, Chicontepec, Álamo, Ixhuatlán de Madero in the state of Veracruz; municipality of Francisco Z. Mena in the state of Puebla; municipalities of Tepehuacán de Guerrero, Huautla, Yahualica, Xoxiatipan, Tianguistengo, Zacualtipan and Metzquititlán in the state of Hidalgo"
1074,Kumyk,Russian Federation,RUS,kum,Vulnerable,,,458121,"Л. С. Левитская: Кумыкский язык. — Языки мира: Тюркские языки. Москва: Индрик, 1997. 319–327.",43.397,46.9775,parts of the Republic of Daghestan
508,Yakut,Russian Federation,RUS,sah,Vulnerable,Sakha,,456288,"Н. К. Антонов: Якутский язык. — Языки мира: Тюркские языки. Москва: Индрик, 1997.",62.3496,130.8691,the Republic of Sakha (Yakutia)
1801,Kaqchikel (Guatemala),Guatemala,GTM,,Vulnerable,,,444954,XI Censo Nacional de Población for number of speakers and language names; contributor H. Antonio García Zúñiga consulted Ethnologue for some locations,14.7814,-90.7925,"Among the many localities listed in Ethnologue: Acatenango in the municipality of Acatenango, Chimaltenango department; Sacatepéquez department; San Martín in municipality of Jilotepeque; Chimaltenango in municipality of Santa María de Jesús, Santo Domingo Xenacoj, Antigua, department of Sololá"
1165,Karbi,India,IND,mjw,Vulnerable,Mikir,,420000,,26.2934,93.2299,"Assam, Karbi Anglong, Kamrup and Nowgong districts; Meghalaya, Jaintia, and East Khasi Hills districts; Nagaland, around Dimapur."
347,Eastern Mari,Russian Federation,RUS,mhr,Definitely endangered,Meadow Mari,,414211,"Eeva Kangasmaa-Minn: Mari. — The Uralic languages. Edited by Daniel Abondolo. London & New York: Routledge, 1998. 219–248. | Sirkka Saarinen: Tscheremissisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 719–733.",56.632,47.8784,"central and eastern parts of the Republic of Mariy-El and parts of Bashkortostan, Tatarstan, the Udmurt Republic, and Yekaterinburg, Perm’ and Orenburg provinces"
1068,Ingush,Russian Federation,RUS,inh,Vulnerable,,,405343,,43.145,45.1043,the Republic of Ingushetia and adjecent regions
350,Erzya,Russian Federation,RUS,myv,Definitely endangered,,,400000,"Gabor Zaicz: Mordva. — The Uralic languages. Edited by Daniel Abondolo. London & New York: Routledge, 1998. 184–218.",54.1302,45.4394,"the eastern parts but also small pockets in the northwest and south of the Republic of Mordovia; also several areas in Nizhniy Novgorod, Samara, Saratov and Orenburg provinces, Tatarstan and Bashkortostan"
1212,Ho,India,IND,hoc,Vulnerable,Kol,,400000,,21.637,86.4404,"Jharkhand, Singhbhum Dt.; Orissa, Mayurbhanj and Koenjhar districts; West Bengal. "
2165,Judezmo (Israel),Israel,ISR,lad,Severely endangered,Ladino; Judeo-Spanish; Sephardic,,400000,"Armin Hetzer: Sephardic. — Minor languages of Europe. Thomas Stolz (ed.). Bochum-Essener Beiträge zur Sprachwandelforschung 30, Bochum: Brockmeyer, 2001. | Muhamed Nezirović: Judenspanisch. — Lexikon der Sprachen des europäischen Ostens. Herausgegeben von Miloš Okuka unter Mitwirkung von Gerald Krenn. Wieser Enzyklopädie des europäischen Ostens 10; Klagenfurt: Wieser, 2002. 101–116.",32.0872,34.7737,"resettled communities in Israel where the majority of the speakers live, and in the United States and several European countries; cf. Judezmo (Europe)"
534,Lalo,China,CHN,"yik, ywt, yit, ywl",Vulnerable,,,400000,Bradley 2008,25.383,99.9426,
378,Limousin,France,FRA,oci,Severely endangered,occitan limousin,lemosin,400000,,46.0579,1.8017,"the departments of Corréze and Haute-Vienne, most of Creuse, the northern parts of Dordogne, and the eastern parts of Charente; the original ISO code [lms] for Limousin has been retired on false grounds"
381,Logudorese,Italy,ITA,src,Definitely endangered,Logudorese Sardinian; Logudorese-Nuorese,,400000,,40.1116,9.1845,central Sardinia
626,Mapuche (Chile),Chile,CHL,arn,Definitely endangered,Mapudungun. Araucanian.,,400000,"Smeets “A Mapuche Grammar” (Berlin, 2008)",-38.5653,-73.081,"Región La Araucanía (provinces of Cautín and Malleco). Provinces of Arauco, Bío-Bío and Valdivia. Dispersed areas in Argentina: Neuquén, Chubut, La Pampa, Buenos Aires."
1503,Central Náhuatl,Mexico,MEX,"nhn, nch, ncx",Vulnerable,"Mexicano, Aztec (in English only)",,395581,"Census 2000, information provided by INALI for percentages of child speakers; Lastra (1986)",19.191,-99.0236,"Locality of Milpa Alta and others with few remaining speakers in the south of the Distrito Federal; several municipalities in the state of Mexico such as Tianguistenco, Jalatlaco, Coyotepec and Huehuetoca; municipalities of Chiautempan, Mazatecocho, Contla and othes in the state of Tlaxcala; several municipalities in the state of Puebla such as Atlixco and Huejotzingo;  in the state of Hidalgo, municipalities such as Acaxochitlán and Pahuatlán; in the state of Veracruz, several municipalities such as Rafael Delgado and Zongolica; municipality of Teotitlán and others in the state of Oaxaca"
