,Unnamed: 0,ISO639-3 codes,Name in English_2023,Alternate names_2023,Degree of endangerment_2023,Number of speakers (2023),Language Branch,Comments,Description of language,Countries_2023,Continent,Coordinates,ID,Name in English_2024,Countries_2024,Country codes alpha 3,Degree of endangerment_2024,Alternate names_2024,Name in the language,Number of speakers 2024,Sources,Latitude,Longitude,Description of the location,Speaker Change (%),Speaker Change (absolute)
10,648,acu,Achuar,Achual; Achuar-Shiwiar; Achuale; Achuara; Jívaro; Maina,"Threatened (20 percent certain, based on the evidence available)",5443.0,Chicham family (Jivaroan),,"Kaufman (2007: 69) considers Jívaro a “language area” with two emergent languages, Jívaro and Aguaruna. Shuar, Achuar, Aguaruna, and Huambisa are closely related languages or dialects of a single language.",Peru;Ecuador;,South America,"-2.876318, -77.586775",566,Achuar,"Ecuador, Peru","ECU, PER",Definitely endangered,Achual,,2500.0,"- Juncosa, José. 1999.  Mapa lingüístico de la Amazonia ecuatoriana. Quito: Abya-Yala.\n- CODENPE. www.codenpe.gov.ec",-2.8991,-77.4316,"- Ecuador: Provinces of Pastaza and Morona Santiago. There are about 30 communities, eleven of which are settled along the Ecuadorian-peruvian border.\n- Peru: Departamento de  Loreto, provincias de  Alto Amazonas y Loreto, en la cuenca de  los ríos Pastaza, Huasaga, Morona  (Cálculo de los propios achuar, 2007)",-54.069446996141835,-2943.0
11,648,acu,Achuar,Achual; Achuar-Shiwiar; Achuale; Achuara; Jívaro; Maina,"Threatened (20 percent certain, based on the evidence available)",5443.0,Chicham family (Jivaroan),,"Kaufman (2007: 69) considers Jívaro a “language area” with two emergent languages, Jívaro and Aguaruna. Shuar, Achuar, Aguaruna, and Huambisa are closely related languages or dialects of a single language.",Peru;Ecuador;,South America,"-2.876318, -77.586775",1988,Shiwiar,Ecuador,ECU,Severely endangered,Shiwiar chicham,,100.0,"- SIISE, Primera encuesta nacional a comunidades de las Nacionalidades y Pueblos. 
Medida: Porcentaje. Año: 2002. Elaboración: SIISE - SIDENPE
- www.shiwiar-ecuador.org
- NASHIE (Nacionalidad Shiwiar del Ecuador) 2007",-2.2186,-76.8164,"Southern Provincia de Pastaza (between the Andoa and Zaparo territories).  There are 10 
Shiwiar communities: Bufeo, Chuinentsa, Juyuintsa, Kambantsa, Kawao, Kurintsa, Panintsa, Tanguntsa, Tunguintsa y Yandanaentsa.",-98.16277787984568,-5343.0
12,1004,acv,Achumawi,Achumawi; Achomawi; Pitt River; Achoma'wi; Achowawi;,"Critically Endangered (60 percent certain, based on the evidence available)",10.0,Palaihnihan,,,USA;,North America,"41.320107,-121.129761",829,Achumawi,United States of America,USA,Critically endangered,,,10.0,"Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun, and Mauricio Mixco. 2007. North America. Atlas of the World's Languages (2nd. edition), ed. by R.E. Asher and C.J. Moseley, 7-44.  London: Routledge.",40.8816,-122.6715,"Both Achumawi and Atsugewi are heritage languages of the Pit River Tribe, which is organized into 11 bands representing the tribal groups with traditional territory along Pit River. ",0.0,0.0
13,650,kjq,Acoma-Laguna,Western Keres Pueblo; Western Keresan; Acoma;,"Threatened (20 percent certain, based on the evidence available)",4000.0,Keresan,,,USA;,North America,"34.8964,-107.5816",878,Acoma-Laguna,United States of America,USA,Definitely endangered,"Acoma, Laguna, Acoma Keresan, Laguan Keresan",,4000.0,"Victor Golla, Ives Goddard, Lyle Campbell, Marianne Mithun, and Mauricio Mixco. 2007. North America. Atlas of the World’s Languages (2nd. edition), ed. by R.E. Asher and C.J. Moseley, 7-44.  London: Routledge.",34.8964,-107.5816,"Spoken in Acoma and Laguna pueblos in northwestern New Mexico, west of Albuquerque. (Laguna is at Lat. N 35/93/14.97, Long. W 107/19/45.57.)",0.0,0.0
14,1130,adi,Adi,崩尼-博嘎爾语; Lho-Pa; Abhor; Abor; Boga'er Luoba; Luoba; Lhoba; Boga'er; Bengni-Boga'er; Bokar; Adi-Bokar; Na Bengni; Bengni; Miri; Abor-Miri; Miśing,"At risk (20 percent certain, based on the evidence available)",100190.0,Sino-Tibetan; Tani,,"Ethnologue's Adi [adi] amalgamates several ethnolinguistically and linguistically distinct groups and thus subsumes several languages:
Ethnologue listed varieties:  Ashing, Bokar (Boga’er Luoba), Bori, Gallong (Galong), Karko, Komkar, Milang, Minyong, Padam, Pailibo, Pangi, Pasi, Ramo, Shimong, Tangam. Milang is definitely a separate language (possibly not a member of the Tani family). Bokar, Pailibo, Ramo and Padam also are all most likely separate languages. Bori, Minyong and Tangam also may be separate languages.
",India;China;,South Asia;East Asia,"28.526319,93.115814",981,Adi,"China, India","CHN, IND",Vulnerable,Abor,,170000.0,,28.3527,95.2294,East Siang District; Upper Siang District,69.67761253618126,69810.0
15,1130,adi,Adi,崩尼-博嘎爾语; Lho-Pa; Abhor; Abor; Boga'er Luoba; Luoba; Lhoba; Boga'er; Bengni-Boga'er; Bokar; Adi-Bokar; Na Bengni; Bengni; Miri; Abor-Miri; Miśing,"At risk (20 percent certain, based on the evidence available)",100190.0,Sino-Tibetan; Tani,,"Ethnologue's Adi [adi] amalgamates several ethnolinguistically and linguistically distinct groups and thus subsumes several languages:
Ethnologue listed varieties:  Ashing, Bokar (Boga’er Luoba), Bori, Gallong (Galong), Karko, Komkar, Milang, Minyong, Padam, Pailibo, Pangi, Pasi, Ramo, Shimong, Tangam. Milang is definitely a separate language (possibly not a member of the Tani family). Bokar, Pailibo, Ramo and Padam also are all most likely separate languages. Bori, Minyong and Tangam also may be separate languages.
",India;China;,South Asia;East Asia,"28.526319,93.115814",986,Minyong,India,IND,Vulnerable,Adi,,40000.0,,28.2632,95.0537,"Arunachal Pradesh, East Siang Dt., east of Siyom River and north of Pasighat.",-60.0758558738397,-60190.0
16,1130,adi,Adi,崩尼-博嘎爾语; Lho-Pa; Abhor; Abor; Boga'er Luoba; Luoba; Lhoba; Boga'er; Bengni-Boga'er; Bokar; Adi-Bokar; Na Bengni; Bengni; Miri; Abor-Miri; Miśing,"At risk (20 percent certain, based on the evidence available)",100190.0,Sino-Tibetan; Tani,,"Ethnologue's Adi [adi] amalgamates several ethnolinguistically and linguistically distinct groups and thus subsumes several languages:
Ethnologue listed varieties:  Ashing, Bokar (Boga’er Luoba), Bori, Gallong (Galong), Karko, Komkar, Milang, Minyong, Padam, Pailibo, Pangi, Pasi, Ramo, Shimong, Tangam. Milang is definitely a separate language (possibly not a member of the Tani family). Bokar, Pailibo, Ramo and Padam also are all most likely separate languages. Bori, Minyong and Tangam also may be separate languages.
",India;China;,South Asia;East Asia,"28.526319,93.115814",983,Bokar,"China, India","CHN, IND",Vulnerable,Adi,,5000.0,,28.8735,94.3807,"scattered villages in West Siang Dt., west of Tuting.",-95.00948198422996,-95190.0
17,1130,adi,Adi,崩尼-博嘎爾语; Lho-Pa; Abhor; Abor; Boga'er Luoba; Luoba; Lhoba; Boga'er; Bengni-Boga'er; Bokar; Adi-Bokar; Na Bengni; Bengni; Miri; Abor-Miri; Miśing,"At risk (20 percent certain, based on the evidence available)",100190.0,Sino-Tibetan; Tani,,"Ethnologue's Adi [adi] amalgamates several ethnolinguistically and linguistically distinct groups and thus subsumes several languages:
Ethnologue listed varieties:  Ashing, Bokar (Boga’er Luoba), Bori, Gallong (Galong), Karko, Komkar, Milang, Minyong, Padam, Pailibo, Pangi, Pasi, Ramo, Shimong, Tangam. Milang is definitely a separate language (possibly not a member of the Tani family). Bokar, Pailibo, Ramo and Padam also are all most likely separate languages. Bori, Minyong and Tangam also may be separate languages.
",India;China;,South Asia;East Asia,"28.526319,93.115814",984,Bori,"China, India","CHN, IND",Definitely endangered,Adi,,2000.0,,28.9889,94.4439,"West Siang Dt., between Siang and Siyom river valleys",-98.00379279369199,-98190.0
18,1130,adi,Adi,崩尼-博嘎爾语; Lho-Pa; Abhor; Abor; Boga'er Luoba; Luoba; Lhoba; Boga'er; Bengni-Boga'er; Bokar; Adi-Bokar; Na Bengni; Bengni; Miri; Abor-Miri; Miśing,"At risk (20 percent certain, based on the evidence available)",100190.0,Sino-Tibetan; Tani,,"Ethnologue's Adi [adi] amalgamates several ethnolinguistically and linguistically distinct groups and thus subsumes several languages:
Ethnologue listed varieties:  Ashing, Bokar (Boga’er Luoba), Bori, Gallong (Galong), Karko, Komkar, Milang, Minyong, Padam, Pailibo, Pangi, Pasi, Ramo, Shimong, Tangam. Milang is definitely a separate language (possibly not a member of the Tani family). Bokar, Pailibo, Ramo and Padam also are all most likely separate languages. Bori, Minyong and Tangam also may be separate languages.
",India;China;,South Asia;East Asia,"28.526319,93.115814",1192,Milang,India,IND,Definitely endangered,Adi,,2000.0,,28.488,95.2954,"Arunachal Pradesh, East Siang Dt., mostly in the village of Milang",-98.00379279369199,-98190.0
19,1130,adi,Adi,崩尼-博嘎爾语; Lho-Pa; Abhor; Abor; Boga'er Luoba; Luoba; Lhoba; Boga'er; Bengni-Boga'er; Bokar; Adi-Bokar; Na Bengni; Bengni; Miri; Abor-Miri; Miśing,"At risk (20 percent certain, based on the evidence available)",100190.0,Sino-Tibetan; Tani,,"Ethnologue's Adi [adi] amalgamates several ethnolinguistically and linguistically distinct groups and thus subsumes several languages:
Ethnologue listed varieties:  Ashing, Bokar (Boga’er Luoba), Bori, Gallong (Galong), Karko, Komkar, Milang, Minyong, Padam, Pailibo, Pangi, Pasi, Ramo, Shimong, Tangam. Milang is definitely a separate language (possibly not a member of the Tani family). Bokar, Pailibo, Ramo and Padam also are all most likely separate languages. Bori, Minyong and Tangam also may be separate languages.
",India;China;,South Asia;East Asia,"28.526319,93.115814",987,Pasi,India,IND,Definitely endangered,Adi,,1000.0,,28.1834,95.2651,"Arunachal Pradesh, East Siang Dt., mostly in and around the towns of Pasighat and Balek.",-99.00189639684599,-99190.0
20,1130,adi,Adi,崩尼-博嘎爾语; Lho-Pa; Abhor; Abor; Boga'er Luoba; Luoba; Lhoba; Boga'er; Bengni-Boga'er; Bokar; Adi-Bokar; Na Bengni; Bengni; Miri; Abor-Miri; Miśing,"At risk (20 percent certain, based on the evidence available)",100190.0,Sino-Tibetan; Tani,,"Ethnologue's Adi [adi] amalgamates several ethnolinguistically and linguistically distinct groups and thus subsumes several languages:
Ethnologue listed varieties:  Ashing, Bokar (Boga’er Luoba), Bori, Gallong (Galong), Karko, Komkar, Milang, Minyong, Padam, Pailibo, Pangi, Pasi, Ramo, Shimong, Tangam. Milang is definitely a separate language (possibly not a member of the Tani family). Bokar, Pailibo, Ramo and Padam also are all most likely separate languages. Bori, Minyong and Tangam also may be separate languages.
",India;China;,South Asia;East Asia,"28.526319,93.115814",1220,Tangam,India,IND,Critically endangered,,,100.0,,29.1473,94.5538,"Arunachal Pradesh, West Siang Dt.; on upper Siang River valley, a few villages southeast of Tuting.",-99.9001896396846,-100090.0
21,3593,adt,Adnyamathanha,Adynyamathanha; Wailpi; Wailbi; Waljbi; Wipie; Ad'n'amadana; Anjimatana; Anjiwatana; Archualda; Benbakanjamata; Binbarnja; Gadjnjamada; Jandali; Kanjimata; Keydnjmarda; Mardala; Nimalda; Nuralda; Unyamootha; Umbertana; Adnyamathana; Anjamutina; Anyamatana; Kudnamietha; Kutchamoota; Keydnjamarda; Mardula; Nimbalda; Nimbaldi; Atnyamathanha;,"Endangered (20 percent certain, based on the evidence available)",100.0,Pama-Nyungan; Thura-Yura,,,Australia;,Australia,"-30.83714135,139.1215397",164,Adnyamathanha,Australia,AUS,Definitely endangered,,,100.0,,-30.6,138.6035,,0.0,0.0
22,3600,aft,Afitti,Ditti; Unietti; Affitti; Dinik; Affiti;,"Endangered (60 percent certain, based on the evidence available)",4000.0,Nyimang,,,Sudan;,Africa,,1689,Afitti,Sudan,SDN,Severely endangered,Ditti,,4512.0,Ethnologue,12.4419,30.7534,,12.8,512.0
23,2799,ulf,Afra,Usku,"Threatened (60 percent certain, based on the evidence available)",115.0,Isolate; Pacific,,,Indonesia;,Southeast Asia,"-3.5449,140.7499",2575,Usku,Indonesia,IDN,Critically endangered,,,20.0,"Wurm, Stephen A. 2007. 'Australia and the Pacific', pp. 424-557 in Christopher Moseley (ed.) Encyclopedia of the World's Endangered Languages. London/New York: Routledge.",-3.5449,140.7499,Irian Jaya,-82.6086956521739,-95.0
24,921,agx,Aghul,Agul; агъул чӀал; Ağul ç'al; агульский язык; Aghulshuy; Aguly;,"Threatened (40 percent certain, based on the evidence available)",18000.0,Northeast Caucasian; Daghestanian; Lezgic,,,Russia;Azerbaijan;,Caucasus;Europe;East Asia,"41.7518,47.6875",1035,Agul,Russian Federation,RUS,Definitely endangered,Aghul,,29399.0,"З. К. Тарланов: Агульский язык. — Языки Российской Федерации и соседних государств: энциклопедия I. Москва: Наука, 1997.",41.7518,47.6875,"fifteen villages in Agul County and five villages in Kurakh County, amongst them Richa, Burkikhan, Tpig, Kurag, Burshag, and Fite, in the Republic of Daghestan and in a number of expatriate communities elsewhere in the Russian Federation",63.32777777777778,11399.0
25,1565,agr,Aguaruna,Aguajun; Ahuajun; Awaruna; Awahun; Awajún; Aguaruna; Aents,"Vulnerable (20 percent certain, based on the evidence available)",55000.0,Chicham family (Jivaroan),,Known to its speakers as iiniá chicham.,Peru;,South America,"-4.3464,-77.8271",734,Awajun,Peru,PER,Vulnerable,Aguaruna,,39000.0,"S.E. Overall (2007), 'A Grammar of Aguaruna' (diss. La Trobe, Melbourne)",-4.3464,-77.8271,"Depto. de  Amazonas, Prov. de  Condorcanqui. También en el Depto. de  Loreto, provincia de  Daten. El centro del territorio está en la  ciudad  de  Nieva y sus alrededores.",-29.09090909090909,-16000.0
26,761,aht,Ahtna,Ahtena; Nabesna; Tanana; Ah-tena; Atna; Copper River; Mednovskiy;,"Critically Endangered (100 percent certain, based on the evidence available)",30.0,Athabaskan-Eyak-Tlingit; Athabaskan;,,,USA;,North America,"62.7547,-144.3164",144,Ahtna,United States of America,USA,Critically endangered,"Ahtena, Atna",,25.0,Krauss 2007,62.7547,-144.3164,,-16.666666666666664,-5.0
27,669,tba,Aikanã,Aikaná; Huarí; Warí; Masaká; Tubarão; Kasupá; Mundé; Corumbiara; Huari; Tubaro; Wari; Uari; Kolumbiara;,"Vulnerable (80 percent certain, based on the evidence available)",187.5,Isolate; South American,,,Brazil;,South America,"-12.651,-60.3918",2023,Aikana,Brazil,BRA,Definitely endangered,"Aikaná, Masaká, Kasupá, Huarí, Corumbiara, Mondé, Tubarão",,150.0,"Moore, 2008, IBGE databank 
Moore, 2008, Scientific American (Brasil) ",-12.651,-60.3918,"The group lives in indigenous lands Tubarão/Latundê, Posto Indígena Rio Guaporé, indigenous lands Kwazá do São Pedro, southeastern Rondônia  - Brazil",-20.0,-37.5
28,3700,aim,Aimol,Langrong; Aimal;,"Endangered (40 percent certain, based on the evidence available)",2640.0,Sino-Tibetan; Kukish,,,India;,South Asia,"24.4971,93.6145",511,Aimol,India,IND,Critically endangered,,,2643.0,Endangered Languages of Manipur' by Dr.Ranjan Singh ,24.4971,93.6145,,0.11363636363636363,3.0
29,3692,aic,Ainbai,,"Endangered (40 percent certain, based on the evidence available)",110.0,Border; Bewani,,"Laycock (1973) identifies the two Ainbai-speaking villages as speaking Pagi [pgi], but Brown (1980) classifies Ainbai as a separate language.",Papua New Guinea;,Pacific,"-3.1, 141.2",2098,Ainbai,Papua New Guinea,PNG,Severely endangered,,,100.0,Grimes 2000,-3.1,141.2,Sandaun (West Sepik) Province,-9.090909090909092,-10.0
30,1212,ain,Ainu (Japan),Ainu Itak; Aynu itak; Kurili; アイヌ　イタㇰ; アイヌ語; ,"Critically Endangered (80 percent certain, based on the evidence available)",2.0,Isolate,,,Japan;,East Asia,"47.3983,142.2949",475,Ainu (Hokkaido),Japan,JPN,Critically endangered,,,15.0,,43.2612,142.8222,the island of Hokkaido,100.0,13.0
31,1212,ain,Ainu (Japan),Ainu Itak; Aynu itak; Kurili; アイヌ　イタㇰ; アイヌ語; ,"Critically Endangered (80 percent certain, based on the evidence available)",2.0,Isolate,,,Japan;,East Asia,"47.3983,142.2949",486,Ainu (Kuril),Russian Federation,RUS,Extinct,,,0.0,"В. М. Алпатов: Айнский язык. — Языки мира: Палеоазиатские языки. Москва: Индрик, 1997. 126–138.",46.8882,152.0068,the northern islands of the Kuril chain (especially Shumshu and Paramushir) and the southern tip of Kamchatka (Cape Lopatka),-100.0,-2.0
32,1212,ain,Ainu (Japan),Ainu Itak; Aynu itak; Kurili; アイヌ　イタㇰ; アイヌ語; ,"Critically Endangered (80 percent certain, based on the evidence available)",2.0,Isolate,,,Japan;,East Asia,"47.3983,142.2949",494,Ainu (Sakhalin),Russian Federation,RUS,Extinct,,,0.0,"В. М. Алпатов: Айнский язык. — Языки мира: Палеоазиатские языки. Москва: Индрик, 1997. 126–138.",47.3983,142.2949,"the southern part of Sakhalin (Karafuto), from 1905 to 1945 under Japanese administration; most of the Ainu population was evacuated (after 1945) to Hokkaido, Japan, where a few speakers of Sakhalin Ainu survived until recently",-100.0,-2.0
33,3703,aja,Aja,Ajja; Adja;,"Endangered (20 percent certain, based on the evidence available)",200.0,Kresh-Aja,,,Sudan;,Africa,"8.6136,25.2465",1688,Aja,Sudan,SDN,Critically endangered,Adja,,200.0,Ethnologue,8.6136,25.2465,,0.0,0.0
34,1269,akq,Ak,,"Severely Endangered (80 percent certain, based on the evidence available)",80.0,Sepik; Yellow River,,,Papua New Guinea;,Pacific,"-3.6093,141.6604",2105,Ak,Papua New Guinea,PNG,Severely endangered,,,83.0,Grimes 2000,-3.6093,141.6604,Sandaun (West Sepik) Province,3.75,3.0
35,5054,soh,Aka,Sillok; Jebels Sillok; Jebel Silak; Fa-C-Aka;,"Endangered (20 percent certain, based on the evidence available)",300.0,Eastern Jebel,,,Sudan;,Africa,"11.0112,34.2333",1690,Aka,India,IND,Critically endangered,Jebel Sillok,,300.0,"Bender, Ethnologue",11.0112,34.2333,,0.0,0.0
36,651,knj,Akateko,"Acatec; Kanjobal (Western); Kanjobal, Western; Acateco; Acatec; San Miguel Acatán Kanjobal; Conob; Western Kanjobal; Western Q'anjob'al; Kanjobal de San Miguel Acatán;","Threatened (20 percent certain, based on the evidence available)",5572.0,Mayan; Q'anjob'alan-Chujean,,,Guatemala;Mexico;,"Mexico, Central America, Caribbean","15.8333333333,-91.8333333333",1778,Akatek (Guatemala),Guatemala,GTM,Vulnerable,"Acateco, Akateco",,35763.0,XI Censeo Nacional de Población for number of speakers and names of languages; contributor H. Antonio García Zúñiga consulted Ethnologue for some locations,15.5724,-91.4218,"San Miguel Acatán, San Rafael La Independencia",100.0,30191.0
37,651,knj,Akateko,"Acatec; Kanjobal (Western); Kanjobal, Western; Acateco; Acatec; San Miguel Acatán Kanjobal; Conob; Western Kanjobal; Western Q'anjob'al; Kanjobal de San Miguel Acatán;","Threatened (20 percent certain, based on the evidence available)",5572.0,Mayan; Q'anjob'alan-Chujean,,,Guatemala;Mexico;,"Mexico, Central America, Caribbean","15.8333333333,-91.8333333333",1357,Akatek (Mexico),Mexico,MEX,Vulnerable,"kuti', Akatec, Akateco",,532.0,"Census 2000, information provided by INALI
Complementary information provided by collaborator H. Antonio García Zúñiga",16.7823,-93.1061,"Municipality of Champotón, state of Campeche; Municipalities of Frontera Comalapa and La Trinitaria, state of Chiapas; Municipality of Othon P. Blanco in Quintana Roo",-90.45226130653266,-5040.0
38,3597,aeu,Akeu,Aki; Akui; 阿克,"Threatened (20 percent certain, based on the evidence available)",5000.0,Sino-Tibetan; Lolo-Burmese,,,China;Myanmar;Thailand;,Southeast Asia;East Asia,"21.5833,101.0166",2220,Akeu,"Lao People's Democratic Republic, Myanmar, Thailand","LAO, MMR, THA",Definitely endangered,Akeu Akha,,5000.0,,21.5833,101.0166,,0.0,0.0
39,941,akv,Akhvakh,Axvax; Ашвaлъи мицIи; авахский язык; Akhwakh,"Threatened (60 percent certain, based on the evidence available)",5000.0,Northeast Caucasian; Daghestanian; Andic,"The Akhvakh language belongs to the Andi subgroup of the Avar-Ando-Dido or northwestern group of the Dagestan languages and is divided into two dialects: North-Akhvakh and South-Akhvakh. The first is homogeneous, while the latter is further divided into the Tlyanub and Tsegob subdialects. The difference between the South-Avar and North-Avar is rather considerable and users of the two dialects prefer communicating in the Avar language. (The Red Book of the Peoples of the Russian Empire, 2008)",,Russia;,Caucasus;Europe;East Asia,"42.472,46.3238",1039,Akhvakh,Russian Federation,RUS,Definitely endangered,,,5793.0,"О. Ю. Богуславская: Ахвахский язык. — Языки Российской Федерации и соседних государств: энциклопедия I. Москва: Наука, 1997.",42.472,46.3238,"six villages in Akhvakh County and the villages of Ratlub, Tlyanub, and Tsegob in Kakhib County in the Republic of Daghestan in the Russian Federation; expatriate community of Akhvakh-dere in Kuba (Quba) County in Azerbaijan",15.86,793.0
40,942,sia,Akkala Saami,Ahkkil; Babino Saami; Akkalansaame; ču´kksuâlis; бабинский саамский язык; Аккала; Babinsk; Akkala Sami; ,"Critically Endangered (60 percent certain, based on the evidence available)",1.0,Uralic; Saami,,,Russia;,Caucasus;Europe;East Asia,"67.774470, 32.126267",329,Akkala Saami,Russian Federation,RUS,Extinct,,,0.0,,67.5809,31.668,"earlier spoken in the village of Babino in southern Murmansk Province, from where the speakers were translocated to Lovozero, the centre of Lovozero County",-100.0,-1.0
41,537,aku,Akum,Anyar; Okum;,"Endangered (20 percent certain, based on the evidence available)",600.0,Niger-Congo; Atlantic-Congo; Benue-Congo; Jukunoid; Yukuben-Kuteb,,,Nigeria;Cameroon;,Africa,"6.73,9.9316",1402,Akum,"Cameroon, Nigeria","CMR, NGA",Critically endangered,,,600.0,Bruce Connell,6.73,9.9316,,0.0,0.0
